id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review,decade,lat_combined,lon_combined,lat_source_col,lon_source_col,coord_source,in_california
194,116,39.3731,-111.6882,,,"Near Ouray, Utah",[],GREEN RIVER NEAR OURAY,,"Sanpete County, Utah",07/01/1964-09/30/1964,Daily intervals over the months of July to September 1964,"{'pH': '', 'Specific_conductance': 'micro-mhos at 25°C', 'Sodium_adsorption_ratio': '', 'Hardness_CaCO3_as_Non_carbonate': 'mg/L', 'Hardness_CaCO3_as_Calcium_Magnesium': 'mg/L', 'Dissolved_solids_residue_at_180°C_Tons_per_day': 'Tons/day', 'Dissolved_solids_residue_at_180°C_Tons_per_acre-foot': '', 'Dissolved_solids_residue_at_180°C_Parts_per_million': 'mg/L', 'Boron_B': 'mg/L', 'Nitrate_NO2': 'mg/L', 'Fluoride_F': 'mg/L', 'Chloride_Cl': 'mg/L', 'Sulfate_SO4': 'mg/L', 'Carbonate_CO3': 'mg/L', 'Bicarbonate_HCO3': 'mg/L', 'Potassium_K': 'mg/L', 'Sodium_Na': 'mg/L', 'Magnesium_Mg': 'mg/L', 'Calcium_Ca': 'mg/L', 'Iron_Fe': 'mg/L', 'Silica_SiO2': 'mg/L', 'Mean_discharge_cfs': 'cubic feet per second (cfs)'}",Stream Discharge,"['pH', 'specific conductance', 'sodium adsorption ratio', 'hardness', 'dissolved solids', 'boron', 'nitrate', 'fluoride', 'chloride', 'sulfate', 'bicarbonate', 'potassium', 'sodium', 'magnesium', 'calcium', 'iron', 'silica', 'discharge']",194_116,39.3731,-111.6882,Stream discharge,,1964,1964,[1964],SINGLE_YEAR,,FALSE,1960,39.3731,-111.6882,inferred_latitude,inferred_longitude,inferred,FALSE
199,165,,,36.7194,-108.2125,"At river mile 99, 100 feet upstream from the mouth of Animas River, at south edge of Farmington, San Juan County, N. Mex.",[],SAN JUAN RIVER ABOVE ANIMAS RIVER,"San Juan County, N. Mex.",,10/11/1965-09/31/1966,Monthly,"{'Temperature': '°F', 'pH': '', 'Specific_Conductance': 'micro-mhos at 25°C', 'Sodium_Absorption_Ratio': '', 'Hardness_as_CaCO3_Non-Carbonate': 'ppm', 'Calcium_Magnesium': 'ppm', 'Chloride': 'ppm', 'Mean_Discharge': 'cfs'}",Stream Discharge,"['San Juan River', 'Animas River', 'Farmington, N. Mex.', 'Chemical analyses', 'Mean discharge']",199_165,36.7194,-108.2125,Stream discharge,,1965,1966,[1965 1966],EXACT_RANGE,,FALSE,1960,36.7194,-108.2125,actual_latitude,actual_longitude,actual,FALSE
2987,96,39.6963,-89.7464,,,"Green Valley, Illinois",[],"Mackinaw River near Green Valley, Ill",,Sangamon County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Mackinaw River', 'Green Valley']",2987_96,39.6963,-89.7464,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,FALSE,1900,39.6963,-89.7464,inferred_latitude,inferred_longitude,inferred,FALSE
2987,96,40.4764,-88.9783,,,"Lake Bloomington, Illinois",[],"Money Creek above Lake Bloomington, Ill",,McLean County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Money Creek', 'Lake Bloomington']",2987_96,40.4764,-88.9783,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,FALSE,1900,40.4764,-88.9783,inferred_latitude,inferred_longitude,inferred,FALSE
2987,96,39.7388,-90.8084,,,"Seville, Illinois",[],"Spoon River at Seville, III",,Pike County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Spoon River', 'Seville']",2987_96,39.7388,-90.8084,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,FALSE,1900,39.7388,-90.8084,inferred_latitude,inferred_longitude,inferred,FALSE
2987,96,40.3786,-88.5092,,,"Monticello, Illinois",[],"Sangamon River at Monticello, Ill",,Piatt County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Sangamon River', 'Monticello']",2987_96,40.3786,-88.5092,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,FALSE,1900,40.3786,-88.5092,inferred_latitude,inferred_longitude,inferred,FALSE
2987,96,39.2992,-90.6956,,,"Near Kenny, Illinois",[],"Salt Creek near Kenny, III",,Calhoun County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Salt Creek', 'Kenny']",2987_96,39.2992,-90.6956,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,FALSE,1900,39.2992,-90.6956,inferred_latitude,inferred_longitude,inferred,FALSE
3146,259,32.9466,-110.8504,,,"3.5 miles southeast of Winkelman, Pinal County, and 4 miles upstream from mouth",[],GILA RIVER BASIN,"Pinal County, Arizona",,10/01/1964-09/30/1965,Daily,"{'Specific_Conductance': 'micromhos at 25°C', 'Water_Temperatures': '°F', 'Sediment_Concentrations': 'ppm', 'Sediment_Loads': 'tons'}",Stream Discharge,"['Specific conductance', 'Sediment concentrations', 'Sediment loads']",3146_259,32.9466,-110.8504,Stream discharge,,1964,1965,[1964 1965],EXACT_RANGE,,FALSE,1960,32.9466,-110.8504,inferred_latitude,inferred_longitude,inferred,FALSE
3146,259,32.9466,-110.8504,,,"Near Winkelman, Pinal County",[],SAN PEDRO RIVER NEAR WINKELMAN,"Pinal County, Arizona",,10/01/1964-09/30/1965,Daily,{'Specific_Conductance': 'micromhos at 25°C'},Stream Discharge,['Specific conductance'],3146_259,32.9466,-110.8504,Stream discharge,,1964,1965,[1964 1965],EXACT_RANGE,,FALSE,1960,32.9466,-110.8504,inferred_latitude,inferred_longitude,inferred,FALSE
1592,355,42.7686,-121.7519,,,"Staff gage in sec. 22, T. 33 S., R. 71/2 E., at highway bridge a quarter of a mile east of Fort Klamath.","['T. 33 S., R. 7 E., Sec. 22']","Wood River at Fort Klamath, Oreg.",Klamath,,10/01/1932-09/30/1933,Daily,second-feet,Stream Discharge,"['maximum', 'minimum', 'average', 'discharge']",1592_355,42.7686,-121.7519,Stream discharge,,1932,1933,[1932 1933],EXACT_RANGE,,FALSE,1930,42.7686,-121.7519,inferred_latitude,inferred_longitude,inferred,FALSE
2257,15,,,32.824849,-109.4035,Sand and Gravel Area,['[TRS not available]'],Lee Johns Well,,Unknown County in California,05/25/1942-07/01/1957,Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Sand and gravel']",2257_15,32.824849,-109.4035,Irrigation,,1942,1957,[1942 1957],EXACT_RANGE,,FALSE,1940,32.824849,-109.4035,actual_latitude,actual_longitude,actual,FALSE
2257,15,,,32.4413,-109.1355,Alluvial Fill Area,['[TRS not available]'],J. D. Williams Well,,Unknown County in California,"1957-1962, 1964-65",Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Alluvial fill']",2257_15,32.4413,-109.1355,Irrigation,,1957,1965,[1957 1962 1964 1965],MULTI_YEARS_OR_RANGES,,FALSE,1950,32.4413,-109.1355,actual_latitude,actual_longitude,actual,FALSE
2257,15,,,32.5001,-109.4414,Alluvial Fill Area,['[TRS not available]'],Andrew Angle Well (Irrigation Water-table),,Unknown County in California,1950-1965,Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Alluvial fill']",2257_15,32.5001,-109.4414,Irrigation,,1950,1965,[1950 1965],EXACT_RANGE,,FALSE,1950,32.5001,-109.4414,actual_latitude,actual_longitude,actual,FALSE
2257,15,,,32.5114,-109.1058,Sand and Gravel Area,['[TRS not available]'],J. C. Meritt Well,,"Greenlee County, Arizona (Error in document)",1939-1965,Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Sand and gravel']",2257_15,32.5114,-109.1058,Irrigation,,1939,1965,[1939 1965],EXACT_RANGE,,FALSE,1930,32.5114,-109.1058,actual_latitude,actual_longitude,actual,FALSE
2257,15,,,33.2749,-112.152,Sand and Gravel Area,['[TRS not available]'],Isabell-Hartner Ranches Well,,"Maricopa County, Arizona (Error in document)","1953-1960, 1962-1964",Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Sand and gravel']",2257_15,33.2749,-112.152,Irrigation,,1953,1964,[1953 1960 1962 1964],MULTI_YEARS_OR_RANGES,,FALSE,1950,33.2749,-112.152,actual_latitude,actual_longitude,actual,FALSE
3146,212,,,36.055,-111.793,"Near Grand Canyon, Arizona",[],Colorado River near Grand Canyon,"Coconino County, Arizona",,10/01/1964-03/31/1965,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Suspended Sediment Concentration': 'parts per million (ppm)', 'Suspended Sediment Load': 'tons per day'}",Stream Discharge,"['Discharge', 'Suspended sediment']",3146_212,36.055,-111.793,Stream discharge,,1964,1965,[1964 1965],EXACT_RANGE,,FALSE,1960,36.055,-111.793,actual_latitude,actual_longitude,actual,FALSE
1276,127,,,40.95,-109.9333,"Near Linwood, Utah","['NWtSW1 sec. 31, T. 3 N., R. 21 E.']",Green River at Flaming Gorge,,Duchesne County,10/1923-09/1938,Monthly,"{'Discharge': 'second-feet', 'Runoff_second-foot-days': 'second-foot-days', 'Runoff_aere-feet': 'square miles'}",Stream Discharge,"['Discharge', 'Runoff', 'Mean discharge', 'Water-stage recorder']",1276_127,40.95,-109.9333,Stream discharge,,1923,1938,[1923 1938],EXACT_RANGE,,FALSE,1920,40.95,-109.9333,actual_latitude,actual_longitude,actual,FALSE
366,314,43,-117.5,,,"Above Olene, Oregon",[],Lost River,Unknown,"Malheur County, Oregon",06/21/1915-09/30/1915,Daily,"{'Gage_Height': 'Feet', 'Discharge': 'Second-feet'}",Stream Discharge,"['Discharge Measurements', 'Channel and Control', 'Extremes of Discharge', 'Daily discharge']",366_314,43,-117.5,Stream discharge,,1915,1915,[1915],SINGLE_YEAR,,FALSE,1910,43,-117.5,inferred_latitude,inferred_longitude,inferred,FALSE
