doc_id,page_number,table_index,site_name,actual_content,action,skip_reason,notes
1084,91,3,Cache Creek at Yolo,annual,extracted_to_annual,,"Station at old wagon bridge on road from Woodland to Yolo, about 1,000 feet above railroad bridge; drainage area, 1,230 square miles. 1901-5 appears to be OCR error for 1904-5. 1908-9 total runoff printed as '280,000' but likely 1,280,000 — kept as printed. 1910-11 depth printed as '574' likely '.574' (inches). 1911-12 mean printed as '50.' interpreted as 50. 1912-13 total printed as '72,3 300' interpreted as 72300. 1913-14 total printed as '170,000' but likely 1,170,000 given magnitude of mean 1620 — kept as printed. 1917-18 mean printed as '42. 1' interpreted as 42.1. 1918-19 total printed as '107,00' interpreted as 107000. 1919-20 mean printed as '3.94'. 1920-21 max printed as '12, ,300' interpreted as 12300."
10430,31,1,"Los Conejos Creek near Alpine, Calif.",annual,extracted_to_annual,,"Table has two data years; third column pair is empty. Discharge reported in acre-feet (total runoff), no mean discharge column present."
1109,123,1,,non_streamflow,skipped_not_streamflow,"Table appears to be a well/groundwater inventory or land-use table with codes like Irr, U, D, S, geological formations (Qal, QTge, etc.), well depths, and owner names — not streamflow discharge data.",
1083,16,1,Eel River above Middle Fork / Middle Fork Eel River above mouth / North Fork Eel River above mouth / South Fork Eel River above mouth / Eel River above Scotia gage / Van Duzen River above mouth / Eel River above mouth,non_streamflow,skipped_not_streamflow,"Table contains average annual precipitation and runoff by hydrologic unit (not year-by-year streamflow records). Values are average annual runoff in 1,000's of acre-feet and inches, not discharge time series.","Table 2 – Precipitation and runoff for hydrologic units of the Eel River basin (adjusted to base period 1900-59). Contains drainage area, average annual precipitation, and average annual runoff for 7 hydrologic units. Not a time-series streamflow table."
1109,76,1,Ukiah Valley area - Crop water use table,non_streamflow,skipped_not_streamflow,"Table contains crop irrigation rates (acre-feet per acre) for various crops, not streamflow discharge data.",
10430,30,1,"San Diego River at diverting dam, near Lakeside, Calif.",annual,extracted_to_annual,,Discharge in acre-feet (total runoff). Two-column layout. Year 1912 appears missing from data rows. Water year labeled with superscript 1.
1083,64,1,Eel River above Dos Rios,annual,extracted_to_annual,,"Table 8: Summary of suspended-sediment and water discharge. Drainage area 705 sq mi. Station 11-4725. 'Avg' rows included. 1963 Qs value appears as '1,715,0 000' (likely 1,715,000 OCR artifact). 1964 last column appears as '4, ,2' (likely 4.2). Columns: Water discharge (acre-feet), Suspended-sediment discharge Qs (tons), Suspended-sediment yield (tons per sq mi), Days per year for 50% Qs, Percent of discharge at Scotia (Water and Suspended-sediment). Only water discharge and sediment extracted as annual rows."
1083,64,1,Black Butte River near Covelo,annual,extracted_to_annual,,"Station 11-4729. Drainage area 162 sq mi. Years 1966 and 1967 have footnote '1'. Suspended-sediment yield not listed for individual years. Avg Qs listed as '2 702,100' likely footnote 2 prefix = 702,100 tons avg, yield 4,330 tons/sq mi."
1083,64,1,"Middle Fork Eel River below Black Butte River, near Covelo",annual,extracted_to_annual,,"Station 11-4730. Drainage area 367 sq mi. 1965 yield value of 27,520 appears anomalously high compared to other years; may be OCR error (possibly 2,752 or 10,000+). Avg Qs listed as '2,983,0 000' OCR artifact for 2,983,000."
1083,64,1,Middle Fork Eel River near Dos Rios,annual,extracted_to_annual,,"Station 11-4739. Drainage area 745 sq mi. Water discharge values prefixed with footnote '3' for 1958-1965. 1961 yield appears as '1, ,138' OCR artifact for 1,138. 1966 Qs appears as '4. 330,000' likely OCR artifact for 4,330,000."
1083,64,1,Eel River at Fort Seward,annual,extracted_to_annual,,"Station 11-4750. Drainage area 2,107 sq mi."
1083,71,1,Regression equations and selected related statistics for the relation between concentration and turbidity at various stations along the Eel River,non_streamflow,skipped_not_streamflow,"Table contains regression equations, correlation coefficients, and standard errors for concentration-turbidity relations — not streamflow discharge or runoff data.","Stations include Black Butte River near Covelo, Middle Fork Eel River below Black Butte River near Covelo, Middle Fork Eel River near Dos Rios, Eel River at Fort Seward, South Fork Eel River near Branscomb, and Eel River at Scotia. Data are log-unit statistics for sediment concentration vs. turbidity regressions, not streamflow measurements."
1083,65,1,South Fork Eel River near Branscomb,annual,extracted_to_annual,,"Multi-station table. This entry covers station 11-4755, drainage area 43.9 sq mi. Quality flag '4' appears as a prefix on some sediment discharge values (likely footnote referencing Hawley and Jones 1969). Water discharge in acre-feet; suspended-sediment discharge in tons. 'Percent of discharge at Scotia' columns also present but not streamflow discharge per se. Some sediment values appear OCR-mangled (e.g. '4 330,00' likely 430,000; '48,000' likely 48,000). Extracting water discharge as mean_discharge (annual total) and suspended sediment as total_runoff is not standard — these are annual totals, not mean discharge. Recording water discharge in annual_rows as total_runoff with unit acre-feet."
1083,65,1,South Fork Eel River near Miranda,annual,extracted_to_annual,,"Station 11-4765, drainage area 537 sq mi. Only years 1958-1962 plus an average row present. Quality flag '4' on some sediment values (Hawley and Jones 1969). Water discharge in acre-feet."
1083,65,1,Eel River at Scotia,annual,extracted_to_annual,,"Station 11-4770, drainage area 3,113 sq mi. Water discharge in acre-feet. Some OCR artifacts: '1, ,528' interpreted as 1,528; '10, , 080' interpreted as 10,080."
1083,65,1,Van Duzen River near Bridgeville,annual,extracted_to_annual,,"Station 11-4785, drainage area 216 sq mi. Water discharge in acre-feet. Some sediment discharge values appear OCR-mangled (e.g. '4 ,000, 000', '4000,000', '2 , 530,000'). Quality prefix '4' likely Hawley and Jones (1969); '2' likely computed by flow-duration/sediment-rating-curve method. Sediment yield column present but not extracted as streamflow data."
