id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,data_source,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review
70038404,438,,,39.132778,-120.953333,"Right bank 600 ft downstream from canal inlet, 0.25 mile below Rollins Dam, and 2.2 miles north of Colfax",['T15N R9E sec22'],Bear River Canal Intake near Colfax,Placer County,,"01/01/1912-09/30/1953,10/01/1964-09/30/1968",Daily,cubic feet per second (cfs),Canal Discharge,"['canal', 'discharge', 'irrigation', 'stream']",main,70038404_438,39.132778,-120.953333,,Canal Discharge,1912,1968,"[1912, 1953, 1964, 1968]",MULTI_YEARS_OR_RANGES,,False
2248,107,37.849,-120.496,,,"near Lagrange, California",[],Three canals near Lagrange,,Tuolumne County,01/01/1911-12/31/1911,Daily and Monthly,second-feet,Canal Discharge,"['canals', 'Lagrange Water & Power Co.']",main,2248_107,37.849,-120.496,,Canal Discharge,1911,1912,"[1911, 1912]",EXACT_RANGE,,False
810,157,40.65,-115.7,,,"Nevada, Elko County - Clover Valley",['35/62-27b1'],U. S. Geol. Survey Drilled Test and Observation Well,Elko County,Elko County,12/21/1949-09/29/1952,Varies (monthly measurements from 1949 to 1952),feet below land surface datum (lsd),Observation,"['Drilled well', 'depth', 'cased to', 'water level']",main,810_157,40.65,-115.7,,Observation,1949,1952,"[1949, 1952]",EXACT_RANGE,,False
810,157,40.65,-115.7,,,"Nevada, Elko County - Clover Valley",['35/62-27b2'],U. S. Geol. Survey Adjacent Observation Water-Table Well,Elko County,Elko County,12/21/1949-09/29/1952,Varies (monthly measurements from 1949 to 1952),feet below land surface datum (lsd),Observation,"['Drilled well', 'depth', 'water level']",main,810_157,40.65,-115.7,,Observation,1949,1952,"[1949, 1952]",EXACT_RANGE,,False
810,157,40.7333,-115.8333,,,"Nevada, Elko County - Goshute-Antelope Valley",['34/67-6a2'],Western Pacific Railroad Co. Industrial Water-Table Well,Elko County,Elko County,03/27/1951-03/28/1949,Varies (monthly measurements from 1948 to 1952),feet below land surface datum (lsd),Industrial,"['Drilled well', 'depth', 'water level']",main,810_157,40.7333,-115.8333,,Industrial,1949,1951,"[1949, 1951]",EXACT_RANGE,,False
810,157,40.7333,-115.8333,,,"Nevada, Elko County - Goshute-Antelope Valley",['34/67-16d1'],Utah Construction Land and Cattle Co. Stock Water-Table Well,Elko County,Elko County,06/25/1948-09/30/1952,Varies (monthly measurements in selected years),feet below land surface datum (lsd),Stock,"['Dug well', 'depth', 'water level']",main,810_157,40.7333,-115.8333,,Stock,1948,1952,"[1948, 1952]",EXACT_RANGE,,False
810,157,40.75,-115.6,,,"Nevada, Elko County - Humboldt River Valley",['33/52-27d1'],Carlin Town Government Unused Water-Table Well,Elko County,Elko County,10/28/1947-02/20/1951,Monthly,feet below land surface datum (lsd),Unused,"['Drilled well', 'depth', 'water level']",main,810_157,40.75,-115.6,,Unused,1947,1951,"[1947, 1951]",EXACT_RANGE,,False
70162522,28,41.4467,-75.6806,,,Pennsylvania,[],Prompton Lake,,"Lackawanna County, Pennsylvania",05/10/1972-11/20/1973,Varies; specific intervals given in document,"{'Cell-count': 'cells per millilitre', 'Transparency': 'inches (cm)'}",Lake,"['Phytoplankton', 'Air Injection', 'Transparency', 'Thermal Destratification']",main,70162522_28,41.4467,-75.6806,,Lake,1972,1973,"[1972, 1973]",EXACT_RANGE,,False
383,172,37.8295,-120.6839,37.8295,-120.6839,"Near Knights Ferry, California",[],South San Joaquin Canal,Calaveras County,Calaveras County,05/22/1918-09/30/1918,Daily,"{'Gage height': 'feet', 'Discharge': 'second-feet'}",Canal Discharge,"['Discharge Measurements', 'Gage Height', 'Daily Discharge']",main,383_172,37.8295,-120.6839,,Canal Discharge,1918,1918,[1918],SINGLE_YEAR,,False
1136,300,38.0,-120.8,,,"Western slope of the Sierra, California",[],Calaveras River,,Calaveras County,,,{},Stream,"['Calaveras River', 'North Fork', 'South Fork', 'San Andreas']",main,1136_300,38.0,-120.8,,Stream,,,,UNPARSED,,True
3983,28,,,37.7852,-120.2125,"near La Grange, Calif.",[],Modesto Canal,Stanislaus County,,1903-01/01,Daily or monthly figures from 1903,cubic feet per second (cfs),Canal Discharge,"['Modesto Canal', 'La Grange']",main,3983_28,37.7852,-120.2125,,Canal Discharge,1903,1903,[1903],SINGLE_YEAR,,False
3983,28,,,37.787,-120.2189,"near La Grange, Calif.",[],Turlock Canal,Stanislaus County,,1898-01/01,Daily or monthly figures from 1898,cubic feet per second (cfs),Canal Discharge,"['Turlock Canal', 'La Grange']",main,3983_28,37.787,-120.2189,,Canal Discharge,1898,1901,"[1898, 1901]",EXACT_RANGE,,False
39449,117,,,,,,,,,,,,,,,main,39449_117,,,,MISSING,,,,UNPARSED,,True
810,73,34.0,-118.5,,,8/10-32N1,"['8N', '10E', '32']",John Demuth Domestic well,Los Angeles County,Los Angeles County,01/30/1948-12/31/1952,Monthly,feet,Domestic Water,"['Diameter', 'Depth', 'Well']",main,810_73,34.0,-118.5,,Domestic Water,1948,1952,"[1948, 1952]",EXACT_RANGE,,False
1520,204,37.6349,-120.9961,37.6349,-120.9961,"Near Modesto, California",[],Modesto and Turlock Canals,,Stanislaus County,,,,Canal Diversion,"['Modesto and Turlock canals', 'Yosemite Power Co.']",main,1520_204,37.6349,-120.9961,,Canal Diversion,,,,UNPARSED,,True
1520,204,38.0342,-119.7625,38.0342,-119.7625,"Near Harden Ranch, California",[],South Fork Tuolumne River at Harden Ranch,,Tuolumne County,,,,Stream Diversion,"['South Fork Tuolumne River', 'Harden ranch']",main,1520_204,38.0342,-119.7625,,Stream Diversion,,,,UNPARSED,,True
8375,96,37.8854,-122.4518,,,"Tiburon, California",['Unknown'],Tiburon,San Mateo County,San Mateo County,03/30/1976-04/11/1979,24 hours between measurements,"{'Temperature': '°C', 'Salinity': 'psu', 'Chlorophyll': 'mg/m3', 'Ammonia': 'µmol/L', 'Nitrate': 'µmol/L', 'Nitrite': 'µmol/L', 'Phosphate': 'µmol/L', 'Silicate': 'µmol/L', 'Oxygen': 'mL/L', 'Depth': 'meters', 'Uptake': 'unknown units'}",Estuarine Studies,"['Photic Extinction', 'Chlorophyll', 'Ammonia', 'Nitrate', 'Nitrite', 'Phosphate', 'Silicate', 'D-Oxygen']",main,8375_96,37.8854,-122.4518,,Estuarine Studies,1976,1979,"[1976, 1979]",EXACT_RANGE,,False
431,355,38.75,-120.7,,,"Union Valley, 1 mile below junction of North and Middle Forks of Silver Creek","['T. 12 N., R. 14 E., SW. 1/4 sec. 20']",Silver Creek,Eldorado County,,10/01/1924-09/30/1926,Daily,,,"['water-stage recorder', 'cable at gage', 'wading']",main,431_355,38.75,-120.7,,MISSING,1924,1926,"[1924, 1926]",EXACT_RANGE,,False
1610,353,,,38.6667,-120.1167,"Near Kirkwood, Calif.","['T. 10 N., R. 17 E., SW1 sec. 32']",Seepage from Silver Lake,El Dorado County,El Dorado County,10/1929-09/1943,Daily,"{'Discharge': 'second-feet', 'Gage_Height': 'feet'}",Seepage,"['seepage', 'Silver Lake', 'groundwater', 'porous rock formation']",main,1610_353,38.6667,-120.1167,,Seepage,1929,1943,"[1929, 1943]",EXACT_RANGE,,False
2291,60,37.2333,-122.2667,37.2333,-122.2667,"T.13 S., R.7 W.","['[T.13 S., R.7 W.]']",Domestic,,San Mateo County,1885-1898,,gallons per minute,Domestic,"['Domestic', 'Irrigation']",main,2291_60,37.2333,-122.2667,,Domestic,1885,1898,"[1885, 1898]",EXACT_RANGE,,False
2291,60,37.1333,-122.2667,37.1333,-122.2667,"T.14 S., R.7 W.","['[T.14 S., R.7 W.]']",,,San Mateo County,1880-1902,,gallons per minute,Domestic,"['Hand', 'Artesian', 'Wind']",main,2291_60,37.1333,-122.2667,,Domestic,1880,1902,"[1880, 1902]",EXACT_RANGE,,False
70038678,494,,,36.786389,-119.539444,"Near Mendota, CA",[],Delta-Mendota Canal,Madera County,,03/03/1971-07/06/1971,Days,"{'Temperature': '°C', 'Dissolved Oxygen': 'mg/L'}",Canal Water,['Dissolved Oxygen'],main,70038678_494,36.786389,-119.539444,,Canal Water,1971,1971,[1971],SINGLE_YEAR,,False
2513,349,33.8494,-118.3366,,,"Redondo Beach, Torrance-Santa Monica area","['T. 3 S., R. 14 W.']",Well 560,Los Angeles County,Los Angeles County,,,,Domestic,"['A', 'L']",main,2513_349,33.8494,-118.3366,,Domestic,,,,UNPARSED,,True
2513,349,33.8594,-118.3167,,,Torrance-Santa Monica area,"['T. 3 S., R. 15 W.']","Well in T. 3 S., R. 15 W.",Los Angeles County,Los Angeles County,,,,Domestic,"['Dom', 'Irr', 'Cp']",main,2513_349,33.8594,-118.3167,,Domestic,,,,UNPARSED,,True
2252,481,,,,,Discharge location,[],Salton Sea,Imperial County,,01/1905-11/1905,Monthly,Acre-feet,Waste Water Discharge,['Total discharge (waste)'],main,2252_481,,,,Waste Water Discharge,1905,1911,"[1905, 1911]",EXACT_RANGE,,False
70038394,60,37.3683,-120.5422,,,"Near Lockwood, California",[],San Antonio River at Sam Jones Bridge,Merced County,,10/1962-09/1964,Varies (specific dates provided),"{'Water Temperature': '°F', 'Discharge': 'cfs', 'Sediment Concentration': 'ppm', 'Sediment Discharge': 'tons per day'}",Bed Material,"['Particle-size analyses', 'bed material']",main,70038394_60,37.3683,-120.5422,,Bed Material,1962,1964,"[1962, 1964]",EXACT_RANGE,,False
39449,84,,,,,,,,,,,,,,,main,39449_84,,,,MISSING,,,,UNPARSED,,True
56394,412,,,37.517,-119.601,Near Shaver Lake,[],Huntington-Shaver conduit outlet near Shaver Lake,Madera County,,,,,Conduit Outlet,"['Huntington-Shaver conduit', 'Shaver Lake']",main,56394_412,37.517,-119.601,,Conduit Outlet,,,,UNPARSED,,True
56394,412,,,37.735,-121.245,Near San Joaquin,[],James Bypass near San Joaquin,,San Joaquin County,,,,Bypass,"['James Bypass', 'San Joaquin']",main,56394_412,37.735,-121.245,,Bypass,,,,UNPARSED,,True
3217,84,,,,,,,,,,,,,,,main,3217_84,,,,MISSING,,,,UNPARSED,,True
2850,85,38.9,-122.4,,,"Clear Lake, California",[],Clear Lake,,Lake County,,,,Lake,['Clear Lake'],main,2850_85,38.9,-122.4,,Lake,,,,UNPARSED,,True
810,104,34.6467,-120.4462,34.6467,-120.4462,"Near Lompoc, Central Ave. and H St.",[],T. M. Parks,Santa Barbara County,Santa Barbara County,1930-01-29 to 1952-12-30,Monthly,feet below land-surface datum,Artesian well,"['Unused artesian well', 'Alluvium']",main,810_104,34.6467,-120.4462,,Artesian well,1930,1952,"[1930, 1952]",EXACT_RANGE,,False
810,104,34.6467,-120.4462,34.6467,-120.4462,"Near Lompoc, North Ave. and H St.",[],W. A. Burpee,Santa Barbara County,Santa Barbara County,1930-01-29 to 1952-12-30,Monthly,feet below land-surface datum,Artesian well,"['Unused artesian well', 'Alluvium']",main,810_104,34.6467,-120.4462,,Artesian well,1930,1952,"[1930, 1952]",EXACT_RANGE,,False
810,104,34.6467,-120.4462,34.6467,-120.4462,"Near Lompoc, Central Ave. and Floradale Ave.",[],W. H. Sanor,Santa Barbara County,Santa Barbara County,1945-01-29 to 1952-12-29,Monthly,feet below land-surface datum,Artesian well,"['Irrigation artesian well', 'Alluvium']",main,810_104,34.6467,-120.4462,,Artesian well,1945,1952,"[1945, 1952]",EXACT_RANGE,,False
23711,5,,,,,,[],,,,,,"['degrees Celsius', 'milligrams per liter']",,"['water temperatures', 'degrees Celsius', 'chemical constituents', 'parts per thousand', 'milligrams per liter', 'dissolved solids']",main,23711_5,,,,MISSING,,,,UNPARSED,,True
658,181,,,,,,,,,,,,,,,main,658_181,,,,MISSING,,,,UNPARSED,,True
4537,335,,,42.25,-121.8,1 mile above outlet of Upper Klamath Lake and 2 miles northwest of Klamath Falls,"['SW1 sec. 19, T. 38 S., R. 9 E.']",Upper Klamath Lake near Klamath Falls,"Klamath County, Oregon",,10/01/1936-09/30/1937,Daily,"{'Elevation': 'feet', 'Contents': 'acre-feet'}",Lake,"['Upper Klamath Lake', 'water-stage recorder', 'gage', 'Bureau of Reclamation datum']",main,4537_335,42.25,-121.8,,Lake,1936,1937,"[1936, 1937]",EXACT_RANGE,,False
3150,651,,,42.97875,-122.079167,Northeast of Crater Lake post office,,CRATER LAKE NEAR CRATER LAKE,Klamath County,,1963-10/1967-09,Daily measurements during 1963-67,"['°F', 'miles', 'feet', 'parts per million']",Lake,"['Hydrologic bench-mark station', 'Chemical analyses', 'pH', 'Conductance']",main,3150_651,42.97875,-122.079167,,Lake,1963,1967,"[1963, 1967]",EXACT_RANGE,,False
3150,514,,,39.198055555556,-123.18055555556,"near Ukiah, Coyote Dam on East Fork Russian River, 3.6 miles upstream",[],Lake Mendocino,Mendocino,,12/01/1965-09/30/1967,Daily,°F (Temperature),Lake,"['temperature recorder', 'intake tower', 'Coyote Dam', 'Russian River']",main,3150_514,39.198055555556,-123.18055555556,,Lake,1965,1967,"[1965, 1967]",EXACT_RANGE,,False
70232920,40,,,44.2722,-110.5049,,[],Effluent,,,09/08/1975,Unknown,"['°C', 'mg/L', 'µg/L']",Effluent,"['discharge', 'treatment plant']",main,70232920_40,44.2722,-110.5049,,Effluent,1975,1975,[1975],SINGLE_YEAR,,False
2060,127,,,,,"About 0.44 mile east-southeast of Buellton, 200 feet south of State Highway 150, 35 feet east of private lane, 5 feet west of tank and white tower",[],"City of Santa Barbara, well 555",Santa Barbara County,,,,,,[],main,2060_127,,,,MISSING,,,,UNPARSED,,True
2846,25,33.7,-116.6,,,Upper Coachella Valley,[],Miscellaneous,,Riverside County,Unknown-Unknown,annual,acre-feet,Miscellaneous,"['runoff', 'subsurface flow']",main,2846_25,33.7,-116.6,,Miscellaneous,,,,UNPARSED,no_year_<=1980_found,True
70038406,211,,,34.9167,-120.4167,"S. George J. Wheat, Santa Maria",['10N/34W-22R1'],GEORGE J. WHEAT,Santa Barbara County,,01/01/1966-10/01/1968,Quarterly,Feet Below Land Surface Datum (LSD),Industrial,"['Table Well', 'Alluvium', 'Paso Robles Formation']",main,70038406_211,34.9167,-120.4167,,Industrial,1966,1968,"[1966, 1968]",EXACT_RANGE,,False
4536,247,37.383,-119.654,,,"sec. 30, T. 5 S., R. 24 E.","['30', 'T. 5 S.', 'R. 24 E.']",Chiquito Creek,Madera,,,,{},,[],main,4536_247,37.383,-119.654,,MISSING,,,,UNPARSED,,True
3982,34,36.2686,-118.8992,,,California,[],A. O. Collins Canal,,"Tulare County, California",,,,Canal,['Canal'],main,3982_34,36.2686,-118.8992,,Canal,,,,UNPARSED,,True
3982,34,35.3531,-118.8475,,,California,[],Alamo Channel,,"Kern County, California",,,,Canal,['Channel'],main,3982_34,35.3531,-118.8475,,Canal,,,,UNPARSED,,True
3982,34,35.3531,-118.8475,,,California,[],Alamo River,,"Kern County, California",,,,River,['River'],main,3982_34,35.3531,-118.8475,,River,,,,UNPARSED,,True
3982,34,36.6667,-116.5167,,,California,[],Amargosa River,,"Nevada County, California",,,,River,['River'],main,3982_34,36.6667,-116.5167,,River,,,,UNPARSED,,True
3982,34,38.6991,-120.8333,,,California,[],American River,,"Placer County, California",,,,River,['River'],main,3982_34,38.6991,-120.8333,,River,,,,UNPARSED,,True
3982,34,43.3333,-117.8333,,,Oregon,[],Ana River,,"Malheur County, Oregon (near California border)",,,,River,['River'],main,3982_34,43.3333,-117.8333,,River,,,,UNPARSED,,True
3982,34,41.8333,-112.0833,,,Utah,[],Bear River,,"Box Elder County, Utah (near California border)",,,,River,['River'],main,3982_34,41.8333,-112.0833,,River,,,,UNPARSED,,True
3090,237,,,,,,,,,,,,,,,main,3090_237,,,,MISSING,,,,UNPARSED,,True
1257,182,,,,,,,"[{'Well_Number': '20/17 - 20N1', 'Location': 'Mendota-Huron area, California', 'Townships_Ranges_Sections': ['20', '17', 'N1'], 'Temporal_Resolution': None, 'Units_Of_Measurement': {'Hardness_as_CaCO3': 'ppm', 'Silica_SiO2': 'ppm', 'Fluoride_F': 'ppm', 'Boron_B': 'ppm', 'Nitrate_NO3': 'ppm', 'Chloride_Cl': 'meq/L', 'Sulfate_SO4': 'meq/L', 'Bicarbonate_HCO3': 'meq/L', 'Carbonate_CO3': 'meq/L', 'Potassium_K': 'meq/L', 'Sodium_Na': 'meq/L', 'Magnesium_Mg': 'meq/L', 'Calcium_Ca': 'meq/L', 'Sum_of_Constituents': 'ppm', 'Specific_Conductance': 'µS/cm', 'pH': None}, 'Actual_Latitude': None, 'Actual_Longitude': None, 'Inferred_Latitude': 37.5683, 'Inferred_Longitude': -120.9494, 'Dates_of_Recording': None, 'Water_Type': 'Groundwater', 'KeyTerms': ['Chemical analyses', 'Well descriptions']}, {'Well_Number': '20/18 - 21N1', 'Location': 'Mendota-Huron area, California', 'Townships_Ranges_Sections': ['20', '18', 'N1'], 'Temporal_Resolution': None, 'Units_Of_Measurement': {'Hardness_as_CaCO3': 'ppm', 'Silica_SiO2': 'ppm', 'Fluoride_F': 'ppm', 'Boron_B': 'ppm', 'Nitrate_NO3': 'ppm', 'Chloride_Cl': 'meq/L', 'Sulfate_SO4': 'meq/L', 'Bicarbonate_HCO3': 'meq/L', 'Carbonate_CO3': 'meq/L', 'Potassium_K': 'meq/L', 'Sodium_Na': 'meq/L', 'Magnesium_Mg': 'meq/L', 'Calcium_Ca': 'meq/L', 'Sum_of_Constituents': 'ppm', 'Specific_Conductance': 'µS/cm', 'pH': None}, 'Actual_Latitude': None, 'Actual_Longitude': None, 'Inferred_Latitude': 37.5683, 'Inferred_Longitude': -120.9494, 'Dates_of_Recording': None, 'Water_Type': 'Groundwater', 'KeyTerms': ['Chemical analyses', 'Well descriptions']}, {'Well_Number': '21/15 - 10D2', 'Location': 'Mendota-Huron area, California', 'Townships_Ranges_Sections': ['21', '15', 'D2'], 'Temporal_Resolution': None, 'Units_Of_Measurement': {'Hardness_as_CaCO3': 'ppm', 'Silica_SiO2': 'ppm', 'Fluoride_F': 'ppm', 'Boron_B': 'ppm', 'Nitrate_NO3': 'ppm', 'Chloride_Cl': 'meq/L', 'Sulfate_SO4': 'meq/L', 'Bicarbonate_HCO3': 'meq/L', 'Carbonate_CO3': 'meq/L', 'Potassium_K': 'meq/L', 'Sodium_Na': 'meq/L', 'Magnesium_Mg': 'meq/L', 'Calcium_Ca': 'meq/L', 'Sum_of_Constituents': 'ppm', 'Specific_Conductance': 'µS/cm', 'pH': None}, 'Actual_Latitude': None, 'Actual_Longitude': None, 'Inferred_Latitude': 37.5683, 'Inferred_Longitude': -120.9494, 'Dates_of_Recording': None, 'Water_Type': 'Groundwater', 'KeyTerms': ['Chemical analyses', 'Well descriptions']}]",Merced County,Merced County,,,,,,main,1257_182,,,,MISSING,,,,UNPARSED,,True
70038681,535,37.3,-120.8,,,Sacramento-San Joaquin Delta,[],Delta-Mendota Canal,unknown,Merced County,10/1971-Current,monthly,cubic feet per second (cfs),Diversion,"['Delta-Mendota Canal', 'diversion']",main,70038681_535,37.3,-120.8,,Diversion,1971,,[1971],OPEN_ENDED_IGNORED,,True
70038681,535,37.5,-121.2,,,Sacramento-San Joaquin Delta,[],California Aqueduct (Delta pumping plant),unknown,San Joaquin County,10/1971-Current,monthly,cubic feet per second (cfs),Diversion,"['California Aqueduct', 'diversion']",main,70038681_535,37.5,-121.2,,Diversion,1971,,[1971],OPEN_ENDED_IGNORED,,True
70038681,535,37.9,-122.1,,,Sacramento-San Joaquin Delta,[],Contra Costa Canal,unknown,Contra Costa County,10/1971-Current,monthly,cubic feet per second (cfs),Diversion,"['Contra Costa Canal', 'diversion']",main,70038681_535,37.9,-122.1,,Diversion,1971,,[1971],OPEN_ENDED_IGNORED,,True
70038681,535,38.7,-122.1,,,Sacramento-San Joaquin Delta,[],Putah South Canal,unknown,Solano County,10/1971-Current,monthly,cubic feet per second (cfs),Diversion,"['Putah South Canal', 'diversion']",main,70038681_535,38.7,-122.1,,Diversion,1971,,[1971],OPEN_ENDED_IGNORED,,True
