ID,Page,NAME_WATERSOURCE,LOC,LAT-LONG,TOWNSHIP_RANGES,DATE,TIME RANGE,TYPE,Comments,Score (out of 7) ,Percentage 
AH,,yes,yes,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
38797,3,,,,,,,,,,
AH,,yes,yes,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
38797,8,,,,,,,,,,
AH,,yes,yes,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
48167,27,,"Pajaro Valley, California",,,,1963–1969,Groundwater Pumpage,,,
AH,,yes,yes,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
53419,29,Sulphur Spring (L. O. Pinches),"Mendocino County, California","39°41'45""N, 123°28'46""W",,9/29/1966,,Spring,,,
AH,,yes,yes,yes,there is a TRS technically but it's written weird--if we have a lat/long that's better,,maybe repeat 1966? Not critical ,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,"Mud Springs (Branscomb Valley Mud Enterprises, Jackson Springs)","Mendocino County, California","39°39'25""N, 123°35'15""W",,9/29/1966,,Spring,,,
AH,,yes--it combined names here a bit but I think it's ok,yes,yes,there is a TRS technically but it's written weird--if we have a lat/long that's better,yes,maybe repeat 1966? Not critical ,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,California Division of Highways,"Mendocino County, California","39°49'34""N, 123°34'48""W",,9/28/1966,,Spring,,,
AH,,yes,yes,yes,there is a TRS technically but it's written weird--if we have a lat/long that's better,yes,maybe repeat 1966? Not critical ,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,Congress Spring (F. A. Stearns),"Napa County, California","38°17'04""N, 122°19'41""W",,5/6/1965,,Spring,,,
AH,,yes,yes,yes,same as above,yes,same as above,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,Pete Imboden,"Napa County, California","38°20'50""N, 122°14'06""W",,5/11/1965,,Spring,,,
AH,,yes,yes,,same as above,yes,same as above,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,"Soda Springs (Napa Soda Springs, Jacksons Springs, Nasser A1)","Napa County, California","38°23'23""N, 122°16'39""W",,5/6/1965,,Spring,,,
AH,,yes,yes,yes,same as above,yes,same as above,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,"Vichy Springs (M. E. Harris, Lepori)","Napa County, California","38°20'20""N, 122°15'33""W",,5/6/1965,,Spring,,,
AH,,yes--writing it a bit weird/combined but it's ok,yes,yes,same as above,yes,same as above,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,California Veterans Home,"Napa County, California","38°23'49""N, 122°22'00""W",,5/6/1965,,Spring,,,
AH,,yes,yes,yes,same as above,yes,same as above,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,California Division of Highways,"Napa County, California","38°29'04""N, 122°14'29""W",,5/7/1965,,Spring,,,
AH,,yes,yes,yes,same as above,yes,same as above,yes,,,
,,1,1,1,0,1,0.5,1,,5.5,78.57142857
53419,29,White Sulphur Springs,"Napa County, California","38°29'26""N, 122°29'42""W",,5/11/1965,,Spring,,,
AH,,yes,yes,yes,same as above,yes,same as above,yes,,,
,,1,1,1,,1,,1,,5,71.42857143
56394,254,San Joaquin River Basin,"Cressey, California","37°27'15""N, 120°36'28""W","T. 5 S., R.12 E.",,1975-1976,Stream Discharge,,,
AH,,Should be Merced River--but San Joaquin is largely correct (larger area),yes,yes,yes mostly ,yes,yes,yes,,,
,,0.5,1,1,1,1,1,1,,6.5,92.85714286
56394,282,San Joaquin River Basin,"La Grange, Stanislaus County, California","37°39'59""N, 120°26'28""W ","T.3 S., R.14 E.",,1975-1976,Stream Discharge,,,
AH,,Should be Tuolumne River--although San Joaquin River Basin is the larger area ,Yes,yes,yes--didn't quite get it but it's written weirdly,yes,yes,yes,,,
,,0.5,1,1,1,1,1,1,,6.5,92.85714286
,,,,,,,,,,,
,Total Points (out of 31) ,28,31,31,20,31,25.5,31,,avg,90.71428571
,Percentage,90.32258065,100,100,64.51612903,100,82.25806452,100,,,
,avg,91.01382488,,,,,,,,,
