,ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,KeyTerms
10,56845,123,,,39.38694,-120.09444,"Near Truckee, CA","['NE&NW4 sec. 28, T.18 N., R.12 E.']",Little Truckee River Below Boca Dam,Nevada County,October 1977 to September 1988,Daily measurements throughout the year,"{'Discharge': 'cubic feet per second (ft3/s)', 'Flow Volume': 'acre-feet'}",Stream Discharge,"['discharge', 'Little Truckee River', 'Boca Dam', 'flow measurements']"
11,70038673,88,,,33.805,-116.5583333,"Near Palm Springs, California","['T.4 S., R.4 E., sec. 22']",Tahquitz Creek,Riverside County,10/01/1947-09/30/1968,Daily,"{'Discharge': 'cfs (cubic feet per second)', 'Water Stage': 'ft (feet)', 'Area': 'sq mi (square miles), acre-ft'}",Stream Discharge,"['Discharge', 'Streamflow', 'Cubic Feet Per Second (cfs)', 'Water Stage', 'Gage Height']"
12,1166,32,,,40.7667,-123.4167,"Weaverville, Trinity County",[],Weaverville,Trinity County,1869-12-31 to 1884-12-31,Monthly,inches,Precipitation,"['inches', 'precipitation']"
13,1166,32,,,39.5833,-122.0,"Jacinto, Glenn County",[],Jacinto,Glenn County,1892-12-31 to 1901-07-31,Monthly,inches,Precipitation,"['inches', 'precipitation']"
14,29192,83,37.9299,-122.0855,,,"Near Walnut Creek, California",[],Walnut Creek,Contra Costa County,1957-09/1966-12,"Annual and specific periods (e.g., 1957-59, 1957-66)","{'Water_discharge': 'ft3/s', 'Sediment_discharge': 'ton/d', 'Suspended_sediment_yield': 'ton/mi²'}",Stream Discharge,"['streamflow', 'sediment discharge', 'suspended sediment yield']"
15,29192,83,38.4853,-122.4655,,,"Near St. Helena, California",[],Napa River near St. Helena,Napa County,1957-09/1966-12,"Annual and specific periods (e.g., 1957-59, 1957-66)","{'Water_discharge': 'ft3/s', 'Suspended_sand': 'ton/d', 'Suspended_sediment': 'ton/d', 'Total_sediment': 'ton/d', 'Annual_suspended-sediment_yield': 'ton/mi²'}",Stream Discharge,"['streamflow', 'sediment discharge', 'suspended sediment yield']"
16,29192,83,38.4414,-122.6978,,,"Near Boyes Hot Springs, California",[],Sonoma Creek at Boyes Hot Springs,Sonoma County,1957-09/1966-12,"Annual and specific periods (e.g., 1957-59, 1957-66)","{'Water_discharge': 'ft3/s', 'Suspended_sand': 'ton/d', 'Suspended_sediment': 'ton/d', 'Annual_suspended-sediment_yield': 'ton/mi²'}",Stream Discharge,"['streamflow', 'sediment discharge', 'suspended sediment yield']"
17,499,193,,,38.5,-120.2,"Near West Point, Calif.","['T. 8 N. R. 16 E., SE1 sec. 33']",Salt Springs Reservoir,Calaveras County,10/01/1935-09/30/1936,Daily,Acre-feet,Reservoir,"['Salt Springs Dam', 'Mokelumne River', 'Pacific Gas & Electric Co.', 'acre-feet']"
18,52982,46,,,34.494444,-119.829167,About 1.0 mile above point of diversion at Strawberry flats,,Spring - Sawyer Estate,Not Specified,"10/12/1949-04/20,1950",Variable (specific dates provided),"{'Lischarge': ['Second-feet', 'Gals, per min.'], 'Temperature': '°F'}",Springs,"['Seepage', 'Stream channel', 'Rock outcrop']"
19,1585,72,33.6842,-117.8533,,,"Near Villa Park, California","['SW. 1/4 sec. 13, T. 4 S., R. 9 W.']",Serrano & Carpenter Canal,Orange County,10/01/1930-09/30/1931,Daily,second-feet,Irrigation,"['Canal', 'Discharge', 'Santiago Creek', 'Orchard']"
20,56412,289,,,38.358056,-121.342778,"Lat 38°21'29"" long 121°20'34""","['T.6 N., R.6 E., sec .20']",COSUMNES RIVER AT McCONNELL,Sacramento,10/1971-09/1972,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Flow Volume': 'acre-feet'}",Stream Discharge,"['stream discharge', 'water-stage recorder', 'gage height', 'cfs']"
21,667,382,,,37.8736,-121.7264,"On right bank 40 ft from highway bridge on Marsh Creek road, 5.0 miles west of Byron",[],Marsh Creek,Contra Costa County,02/01/1953-09/30/1954,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet'}",Stream Discharge,"['Discharge', 'Cubic feet per second', 'Gage Height']"
22,15,321,,,38.5804,-121.4944,"Bitte City, California",[],Sacramento River Main Stem,Sacramento County,1921-10/01 to 1950-09/30,Monthly and yearly,"{'Discharge': 'cubic feet per second', 'Runoff': 'thousands of acre-feet'}",Stream Discharge,"['Mean discharge', 'Runoff']"
23,70038413,288,,,34.648611,-120.183333,"Near Buellton, California",[],Zaca Creek,Santa Barbara County,09/1963-Current Year,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Area': 'square miles (sq mi)', 'Volume': 'acre-feet (acre-ft)'}",Stream Discharge,"['Zaca Creek', 'water-stage recorder', 'discharge', 'gage height']"
24,3174,124,36.9444,-121.7256,,,California,[],Zayante Creek at Zayante,Santa Cruz County,02/01/1970-09/30/1970,Daily,"{'Discharge': 'CFS (cubic feet per second)', 'Concentration': 'MG/L (milligrams per liter)', 'Sediment_Discharge': 'TONS/DAY'}",Stream Discharge,"['Suspended-sediment discharge', 'Mean concentration', 'Sediment discharge']"
25,70038393,328,,,40.233333,-121.463889,"near Deer Creek Meadows, Calif.","['T. 27 N., R.4 E., sec.1']",Deer Creek below Slate Creek,Butte County,08/01/1961-09/30/1962,Daily,"{'Gage_Height': 'feet', 'Discharge': 'cubic feet per second (CFS)', 'Runoff': 'acre-feet'}",Stream Discharge,"['Discharge', 'Gage Height', 'Cubic Feet Per Second']"
26,695,32,,,32.6791666667,-116.6722222222,"Near Dulzura, Calif.","['NW1 sec. 22, T. 17 S., R. 3 E.']",Cottonwood Creek at Barrett Dam,San Diego,"01/01/1906-12/31/1915, 10/01/1945-09/30/1957",Daily and Monthly (as per records),"{'Drainage_area': 'sq mi', 'Discharge': 'acre-ft/year, cfs', 'Gage_height': 'feet', 'Reservoir_contents': 'acre-feet'}",Stream Discharge,"['Discharge', 'Runoff', 'Reservoir', 'Inflow', 'Evaporation', 'Spillway']"
27,2060,314,34.6451,-120.4357,,,"About 5.5 miles west-northwest of Lompoc, 1.4 miles north of State Highway 150 (Ocean Avenue), 0.23 mile west of Union Sugar Avenue, 15 feet south of irrigation well 7/35-23E2.",['7TR 35S R E 23'],Union Sugar Co. Ground-Water Basin,Santa Barbara County,1930-06-28-1942-07-30,Monthly,"{'Water_level_above_sea_level': 'feet', 'Water_level_below_land_surface': 'feet'}",Groundwater,"['Pump operating', 'Ground-Water Basins', 'Union Sugar Co.', 'Well']"
28,57549,608,,,34.430277,-119.821111,"Hollister Lat 34°25'49"", long 119°49'16"" in La Goleta Grant, on right bank south of Avenue on Kellogg Avenue, 0.5 mi (0.8 km) southeast of Goleta",[],SAN JOSE CREEK,Santa Barbara County,October 1970-Current Year,Daily,"{'Discharge': 'cubic feet per second and meters cubed per second', 'Gage_Height': 'feet and meters'}",Stream Discharge,"['SAN JOSE CREEK', 'discharge', 'gauge height', 'precipitation']"
29,733,327,,,33.9742,-118.0876,"near Montebello, Calif.",[],Rio Hondo,Los Angeles County,10/01/1961-09/30/1962,Daily,cubic feet per second,Stream Discharge,"['discharge', 'cubic feet per second', 'water year']"
30,70038414,349,,,39.72361,-122.04639,"Capay Grant, on right bank 2.3 miles southwest of Hamilton City, 6 miles upstream from mouth, and 8 miles east of Orland.",['Not Specified'],Stony Creek Near Hamilton City,Glenn County,10/01/1968-09/30/1969,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Volume': 'acre-feet'}",Stream Discharge,"['Stony Creek', 'Hamilton City', 'Glenn County', 'stream discharge', 'water year', 'gage']"
31,56362,91,,,36.6146,-121.6057,"Near Spreckels, California",[],"SALINAS RIVER NEAR SPRECKELS, CALIF.",Monterey County,10/02/1974-09/09/1975,Daily,"{'Discharge (CFS)': 'cubic feet per second', 'Dissolved Silica (SiO2)': 'mg/L', 'Total Iron (Fe)': 'µg/L', 'Dissolved Iron (Fe)': 'µg/L', 'Total Manganese (Mn)': 'µg/L', 'Suspended Manganese (Mn)': 'µg/L', 'Dissolved Manganese (Mn)': 'µg/L', 'Dissolved Calcium (Ca)': 'mg/L', 'Dissolved Magnesium': 'mg/L', 'Dissolved Sodium (Na)': 'mg/L', 'Dissolved Potassium (K)': 'mg/L', 'Bicarbonate (HCO3)': 'mg/L', 'Carbonate (CO3)': 'mg/L', 'Alkalinity as CaCO3': 'mg/L', 'Dissolved Sulfate (SO4)': 'mg/L', 'Dissolved Chloride (Cl)': 'mg/L', 'Dissolved Fluoride (F)': 'mg/L', 'Dissolved Nitrate (N)': 'mg/L', 'Dissolved Nitrite (N)': 'mg/L'}",Stream Discharge,"['chemical analyses', 'sediment concentrations', 'dissolved silica', 'iron', 'manganese', 'calcium', 'sodium', 'potassium', 'bicarbonate', 'carbonate', 'alkalinity', 'sulfate', 'chloride', 'fluoride', 'nitrate', 'nitrite']"
32,3033,75,,,33.4738889,-117.1416667,"Temecula Grant, on left bank at upper end of Temecula Canyon, 0.1 mile downstream from Murrieta Creek and 1.4 miles south of Temecula",[],Murrieta Creek at Temecula,Riverside County,"Feb. 5, 1931 - Feb. 19, 1962",Variable (based on recorded dates),"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",Stream Discharge,"['peak stages', 'discharges', 'gage height', 'Murrieta Creek']"
33,56850,503,34.4,-119.5,,,Los Angeles- Ventura County Line,[],SANTA CLARA RIVER,"LOS ANGELES-VENTURA COUNTY LINE, CA",10/01/1977-05/31/1978,Daily,MICROMHOS/CM,Stream Discharge,"['SANTA CLARA RIVER', 'SPECIFIC CONDUCTANCE']"
34,70039753,291,39.3833,-123.0833,,,"At gaging station, 0.2 mile downstream from Black Butte River and 8.6 miles east of Covelo",[],MIDDLE FORK EEL RIVER BELOW BLACK BUTTE RIVER,Mendocino County,10/1962-09/1963,Daily,"{'Temperature': '°F', 'Sediment_Concentration': 'ppm', 'Sediment_Loads': 'tons'}",Stream Discharge,"['water temperatures', 'gaging station', 'stream discharge']"
35,810,75,34.0489,-118.1265,,,"Coastal plain, near Montebello",[],Lycan Bros. Near Montebello,Los Angeles County,1928-1952,Monthly,Feet below land-surface datum (lsd),Groundwater,"['unused water-table well', 'Gaspur water-bearing zone']"
36,810,75,33.9186,-118.1163,,,"Coastal plain, near Downey",[],Los Angeles County Farm Near Downey,Los Angeles County,1930-1952,Monthly,Feet below land-surface datum (lsd),Groundwater,"['artesian well', 'Gaspur water-bearing zone']"
37,194,609,41.7491,-124.1736,,,"Gaging station, 0.5 mile downstream from South Fork, and 8 miles east of Crescent City",[],SMITH RIVER NEAR CRESCENT CITY,Del Norte County,10/01/1963-09/30/1964,Monthly,"{'pH': '', 'Specific_Conductance': 'micro-mhos at 25°C', 'Sodium_Absorption_Ratio': '', 'Hardness_Non_Carbonate': 'CaCO3 as mg/L', 'Calcium_Magnesium': 'mg/L', 'Dissolved_Solids_Tons_Per_Day': 'Tons/day', 'Dissolved_Solids_Tons_Per_Acre_Foot': '', 'Dissolved_Solids_Parts_Per_Million': 'ppm', 'Boron': 'mg/L', 'Nitrate': 'mg/L', 'Fluoride': 'mg/L', 'Chloride': 'mg/L', 'Sulfate': 'mg/L', 'Carbonate': '', 'Bicarbonate': 'mg/L', 'Potassium_Sodium': {'Potassium': 'mg/L', 'Sodium': 'mg/L'}, 'Magnesium': 'mg/L', 'Calcium': 'mg/L', 'Iron': 'mg/L', 'Silica': 'mg/L', 'Mean_Discharge': 'cfs'}",Stream Discharge,"['Chemical analyses', 'pH', 'Specific conductance', 'Sodium absorption ratio', 'Hardness', 'Dissolved solids', 'Boron', 'Nitrate', 'Fluoride', 'Chloride', 'Sulfate', 'Carbonate', 'Bicarbonate', 'Potassium', 'Sodium', 'Magnesium', 'Calcium', 'Iron', 'Silica', 'Mean discharge']"
