id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording,temporal_resolution,units_of_measurement,water_type,keyterms
3034,50,35.5,-118.8,,,"Near Kern River, South Calif.",[],"Isabella, Canyon Bakersfield",Kern County,,1895-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']"
3034,50,35.5,-118.8,,,"Near Kern River, South Calif.",[],"River near Kernville, Calif.",Kern County,,1900-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']"
3034,50,35.5,-118.8,,,"Near Kern River, South Calif.",[],"River below near Kern River powerhouse, Calif.",Kern County,,1930-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']"
3034,50,36.1,-118.5,,,Near Tule River,[],"Hot Ducor, California near River Creek at White Deer, Calif.",Tulare County,,1995-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']"
3034,50,36.1,-118.5,,,Near Tule River,[],"Tule Fork Porterville, Middle Springville of near Fork near River North Tule, Calif.",Tulare County,,2000-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']"
3034,50,36.1,-118.5,,,Near Kaweah River,[],"near River Tule Calif. South Fork, near River Kaweah Fork Middle, Calif.",Tulare County,,2020-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']"
3034,50,36.1,-118.5,,,Near Kaweah River,[],"Success, near River Kaweah Fork Middle, Calif.",Tulare County,,2035-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']"
70038396,396,,,39.2638889,-120.7291667,"near Blue Canyon, California","['T.16 N., R.11 E., sec.10']",Drum Canal above forebay,,Placer County,10/01/1964-09/30/1965,Daily,cubic feet per second (cfs),Stream Discharge,"['Drum Canal', 'discharge measurements', 'Mater-stage recorder', 'Federal Power Commission project']"
3217,374,,,42.15,-121.7,"SW1 sec. 30, T. 39 S., R. 10 E., near Olene, Oregon","['T. 39 S., R. 10 E., SW1 sec. 30']",Klamath River to Lost River Diversion,Unknown,"Lake County, Oregon",1930-10/01 to 1950-12/31,Daily,"cubic feet per second (cfs), acre-feet",Stream Discharge,"['canal', 'diversion', 'Klamath River', 'Lost River', 'irrigation', 'Tule Lake']"
3217,374,,,42.1333,-121.9667,"SE sec. 35, T. 39 S., R. 7 E., near Keno, Oregon","['T. 39 S., R. 7 E., SE sec. 35']","Klamath River at Keno, Oregon",Unknown,"Lake County, Oregon",1904-01/01 to 1950-12/31,Daily,cubic feet per second (cfs),Stream Discharge,"['Klamath River', 'discharge', 'gage', 'South Canal', 'Midland Canal']"
716,545,,,40.183333,-121.183333,"near Prattville, Calif.","['NW1 sec 22, T.27 N., R.7 E.']",Butt Creek below Almanor-Butt Creek tunnel,,Plumas County,"{'Start_Date': '10/1936', 'End_Date': '09/1959'}",Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Area': 'square miles (sq mi)', 'Flow': 'cubic feet per year (acre-ft/year)'}",Stream Discharge,"['Stream', 'Discharge', 'Cubic Feet per Second']"
56417,333,,,39.7261,-121.7078,"NW4NW14 sec. 36, .22 N., R.2 E.",['NW4NW14 sec. 36'],Butte Creek Near Chico,Butte County,,10/01/1973-09/30/1974,Daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Gage Height': 'feet (ft)', 'Acre-Foot/Year': 'acre-ft'}",Stream Discharge,"['discharge', 'gage height', 'stream']"
1568,157,,,,,"2 miles northwest of Florence Lake and 6 miles above mouth of Bear Creek, sec. 36, T. 7 S., R. 27 E.","['[T. 7 S., R. 27 E., Sec. 36]']",Deer Creek below East Fork,Fresno County,,['10/01/1925-09/30/1926'],Daily,Second-feet,Stream Discharge,"['Daily discharge', 'Discharge in second-feet']"
489,247,,,39.5833333,-121.8236111,"Jimeno grant, 1,500 feet below Wilkins slough and 6 miles southeast of Grimes",[],Sacramento River below Wilkins Slough,Colusa County,,08/01/1931-10/31/1935,Daily,Second-feet,Stream Discharge,"['Discharge', 'Gage-height record', 'low-water records', 'high-water periods']"
583,178,,,36.9,-121.5972,"near Chittenden, Calif.",[],Pajaro River,San Benito County,,10/01/1944-09/30/1945,Daily,second-feet,Stream Discharge,"['stream discharge', 'second-feet', 'gage height']"
2888,119,37.644,-121.095,,,Anderson Springs area,['Tr. 31'],White Sulphur Spring,,Stanislaus County,1887-1911,,"['mg/L', 'mg/L', 'mg/L', 'mg/L']",Springs,"['sulphide', 'silica', 'carbonate', 'H2S']"
2888,119,37.644,-121.095,,,Anderson Springs area,[],Liver and Kidney Spring,,Stanislaus County,1887-1911,,['mg/L'],Springs,"['analyst', 'authority']"
2888,119,37.644,-121.095,,,Anderson Springs area,[],Hot Salt Spring,,Stanislaus County,1889-1911,,['mg/L'],Springs,"['analyst', 'authority']"
2888,119,37.644,-121.095,,,Anderson Springs area,[],Black Surprise Sulphur Spring,,Stanislaus County,,,['mg/L'],Springs,['sulphur']
4536,327,41.8833,-121.633,,,"Near Ydanom, Calif.","['T. 42 N., R. 13 E., sec. 35']",Pit River,Siskiyou County,Siskiyou County,05/01/1924-09/30/1924,Daily,second-feet,Stream Discharge,"['discharge', 'Pit River', 'Ydanom']"
4536,327,41.7,-120.8,,,"SE. 1/4 SW. 1/4 sec. 35, T. 42 N., R. 13 E., at Alturas Electric Light & Power Co.'s power house","['T. 42 N., R. 13 E., sec. 35']",Pine Creek,Modoc County,Modoc County,05/27/1918-09/30/1924,,second-feet,Stream Discharge,"['discharge', 'Pine Creek', 'Alturas']"
3048,594,,,39.170833,-123.665833,"Left bank 2.7 miles downstream from North Fork, 5.4 miles upstream from mouth, and 6.6 miles west of Navarro.","['T15 N., R16 W., SE1 sec. 7']",Navarro River near Navarro,Humboldt County,,10/01/1957-09/30/1958,Daily,cubic feet per second (cfs),Stream Discharge,"['discharge', 'cubic feet per second (cfs)', 'gage height']"
70038401,370,,,37.3333,-121.9,"San Jose, Santa Clara County, on right bank 100 ft downstream from Los Gatos Creek",[],GUADALUPE RIVER AT SAN JOSE,Santa Clara County,,10/01/1966-09/30/1967,Daily,"cfs (cubic feet per second), acre-ft",Stream Discharge,"['Guadalupe River', 'discharge', 'reservoirs', 'water-stage recorder']"
2251,293,,,37.6671,-120.8394,"near Lagrange, California",[],Turlock Canal,Stanislaus County,,01/01/1903-31/12/1903; 01/01/1904-31/12/1904,Daily,feet,Stream Discharge,"['gage height', 'Turlock canal', 'Lagrange', 'stream measurements']"
70038405,34,,,36.015277,-114.737778,"Lat 36°00'55"", long 114°44'16"" in NEESW1 sec.3, T.30 N., R.23 W. Gila and Salt River meridian, on state line between Mohave County, Ariz., and Clark County, Nev., downstream from gaging station in Hoover Dam powerhouse.","['T.30 N., R.23 W.']",Colorado River Below Hoover Dam,"Mohave County, Ariz., and Clark County, Nev.",,10/21/1967-09/30/1968,"Monthly (on or about the fifth, fifteenth, and twenty-fifth of each month)","{'Discharge': 'CFS', 'Silica': 'mg/L', 'Dissolved Iron': 'mg/L', 'Calcium': 'mg/L', 'Magnesium': 'mg/L', 'Sodium': 'mg/L', 'Potassium': 'mg/L', 'Bicarbonate': '', 'Carbonate': '', 'Sulfate': 'mg/L', 'Chloride': 'mg/L'}",Irrigation network station,"['Chemical analyses', 'Water temperatures', 'Mean discharge']"
604,308,,,42.233333,-120.5,Water-stage recorder,"['SW1 sec. 29, T. 38 S., R. 19 E.']",Cottonwood Creek,,"Lake County, Oregon","['11/01/1908-09/30/1919', '10/01/1925-09/30/1947']",Daily,Second-feet,Stream Discharge,"['discharge', 'flow', 'gage height', 'water-stage recorder']"
583,52,,,33.925,-117.594444,"near Corona, Riverside County, California",[],Santa Ana River at Auburndale Bridge,Riverside County,,05/01/1930-11/30/1945,Daily,Second-feet,Stream Discharge,"['water-stage recorder', 'discharge measurements', 'flood-control engineer']"
56403,550,34.4833,-118.8333,,,"Below Santa Felicia Dam on Piru Creek, California",[],PIRU CREEK BELOW SANTA FELICIA DAM,,Ventura,02/01/1976-09/30/1976,Daily,micromhos/cm at 25 deg C,Stream Discharge,"['Specific Conductance', 'Piru Creek']"
70038397,358,41.0142,-124.0653,,,"At gaging station, on U.S. Highway 101 bridge at Orick, Humboldt County, and 0.9 mile downstream from Prairie Creek",[],REDWOOD CREEK AT ORICK,Humboldt County,,10/15/1964-09/21/1965,varies (specific dates provided in table),"{'Discharge': 'cfs', 'Silica': 'ppm', 'Calcium': 'ppm', 'Magnesium': 'ppm', 'Sodium': 'ppm', 'Potassium': 'ppm', 'Bicarbonate': 'ppm', 'Carbonate': 'ppm', 'Sulfate': 'ppm', 'Chloride': 'ppm', 'Fluoride': 'ppm', 'Nitrate': 'ppm', 'Boron': 'ppm', 'Dissolved solids (residue at 180°C)': {'Parts per million': 'ppm', 'Tons per acre-foot': 'tons/acre-ft', 'Tons per day': 'tons/day'}, 'Hardness as CaCO3': {'Calcium, Magnesium': 'ppm', 'Non-carbonate': 'ppm'}, 'Specific conductance': 'micro-mhos at 25°C', 'pH': None}",Stream Discharge,"['Chemical analyses', 'Mean discharge (cfs)', 'Silica (SiO2)', 'Calcium (Ca)', 'Magnesium (Mg)', 'Sodium (Na)', 'Potassium (K)', 'Bicarbonate (HCO3)', 'Carbonate (CO3)', 'Sulfate (SO4)', 'Chloride (Cl)', 'Fluoride (F)', 'Nitrate (NO2)', 'Boron (B)']"
70038682,446,,,39.408056,-122.970278,"Mendocino National Forest, on left bank 0.4 mi (0.6 km) upstream from Soda Creek, 0.7 mi (1.1 km) downstream from Scott Dam, and 9.7 mi (15.6 km) northeast of town of Potter Valley","['SE% sec. 15', 'T.18 N.', 'R. 10 W.']",EEL RIVER BELOW SCOTT DAM,Lake County,,10/01/1973-09/30/1974,Daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Temperature': 'degrees Fahrenheit (°F)'}",Stream Discharge,"['EEL RIVER', 'SCOTT DAM', 'discharge', 'streamflow']"
1110,266,,,,,California,"['J1 L1', '15 1/4 T J', '11/2 L', '2 J', '11/2 L L', '3 L', 'L', '2 3 1 1/2 J L J']",Irrigation,,,1943-01-01 to 1949-12-31,,,Irrigation,"['Dy,', 'S Irr, D', 'U Dy, S D,', 'D D']"
56418,628,37.0,-119.5,,,State of California,[],Unknown River or Stream,,Various Counties in California (inference required),10/01/1973-09/30/1974,Daily,"{'Mean_Discharge': 'CFS (cubic feet per second)', 'Mean_Concentration': 'MG/L (milligrams per liter)', 'Sediment_Discharge': 'TONS/DAY'}",Stream Discharge,"['SUSPENDED-SEDIMENT DISCHARGE', 'CFS', 'MG/L', 'TONS/DAY']"
