,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,TIME_RANGE,UNITS_USED,WATER_TYPE,ANNUAL TOTAL,MEAN,MAX,MIN,TOTAL AC-FT,Water_Type,AC-FT,MEAN_WATER_YEAR,MIN_WATER_YEAR,MAX_WATER_YEAR,TOTAL_WATER_YEAR,MEAN_WATER,MAX_WATER,MIN_WATER,TOTAL_WATER,CALNDAR_YEAR
16,3067,268,NA,NA,,,,,,,,,,,10200.0,,,,396200.0,,,,,,,,,
17,3067,268,,,,,,,,,,,,,,,,,,940.0,-,10200.0,682500.0,,,,,
18,3067,268,,,,,,,,,,,,,,,,,,,,,,547.0,10770.0,-,101750.0,1955
19,10372,13,-37.77,-122.02,"T. 30 S., R. 27 E.",NA,MOUNT DIABLO BASE LINE AND MERIDIAN,NA,01/01/1975-12/31/1977,Yearly,"Acre-feet, rounded to three significant figures",Groundwater well,,,,,,,,,,,,,,,,
20,10372,13,-37.77,-122.02,28 E.,NA,MOUNT DIABLO BASE LINE AND MERIDIAN,NA,01/01/1975-12/31/1977,Yearly,"Acre-feet, rounded to three significant figures",Groundwater well,,,,,,,,,,,,,,,,
21,48176,27,NA,NA,NA,"24GEOLOGY AND GROUND WATER, PAJARO VALLEY AREA, CALIFORNIA",Pumpage year Gross pumpage (acre-feet),NA,01/01/1963-31/12/1969,Yearly,Acre-feet,Irrigation,,,,,,,,,,,,,,,,
22,48176,27,NA,NA,NA,"24GEOLOGY AND GROUND WATER, PAJARO VALLEY AREA, CALIFORNIA",Pumpage year Gross pumpage (acre-feet),NA,01/01/1963-31/12/1969,Yearly,Acre-feet,Other,,,,,,,,,,,,,,,,
23,48176,27,NA,NA,NA,"24GEOLOGY AND GROUND WATER, PAJARO VALLEY AREA, CALIFORNIA",Pumpage year Gross pumpage (acre-feet),NA,01/01/1963-31/12/1969,Yearly,Acre-feet,Total,,,,,,,,,,,,,,,,
24,3067,266,41.7879,-87.6628,"T 1 N/S, R 24 E/W, S NW/SE fraction",NA,NA,Cook County,01/01/1955-12/31/1955,Daily,"Ac-ft, ft3/day",Groundwater recharge,,,,,,,,,,,,,,,,
25,3067,266,41.7879,-87.6628,"T 1 N/S, R 24 E/W, S NW/SE fraction",NA,NA,Cook County,01/01/1955-12/31/1955,Daily,"Ac-ft, ft3/day",Groundwater recharge,,,,,,,,,,,,,,,,
26,28950,19,34.0522,-118.2437,T0 N/S R0 E/W,,NA,Los Angeles,01/01/1970-12/31/1970,yearly,acre-feet,Groundwater recharge,,,,,,,,,,,,,,,,
27,25076,28,35.5000,-119.1667,"N 1/4, S 3/4 SE NW/SW NE/SE fraction",Erskine Creek near Isabella,,,DD/MM/YYYY-DD/MM/YYYY,daily,".5, 4.2, ",Stream discharge,,,,,,,,,,,,,,,,
28,25076,28,35.5000,-119.1667,"N 1/4, S 3/4 SE NW/SW NE/SE fraction",Basin Creek near Havilah,,,DD/MM/YYYY-DD/MM/YYYY,daily,"5.0, 7.0, ",Stream discharge,,,,,,,,,,,,,,,,
29,25076,28,35.5000,-119.1667,"N 1/4, S 3/4 SE NW/SW NE/SE fraction",Tejon House Creek at Tejon ranch house,,,DD/MM/YYYY-DD/MM/YYYY,daily,"13.6, 26.1, ",Stream discharge,,,,,,,,,,,,,,,,
30,25076,32,36. 425,-119. 175,T14N R27E SE1/4 NW1/4 SE1/4,"Kaweah River at McKay Point, near Lemon Cove",,Tulare,01/01/1902-12/31/1926,Daily,CFS,Stream discharge,,,,,,,,,,,,,,,,
31,25076,32,36. 425,-119. 175,T14N R27E SE1/4 NW1/4 SE1/4,"Kaweah River at McKay Point, near Lemon Cove",,Tulare,01/01/1902-12/31/1926,Daily,CFS,Stream discharge,,,,,,,,,,,,,,,,
32,25076,32,36. 425,-119. 175,T14N R27E SE1/4 NW1/4 SE1/4,"Kaweah River at McKay Point, near Lemon Cove",,Tulare,01/01/1902-12/31/1926,Daily,CFS,Stream discharge,,,,,,,,,,,,,,,,
33,2846,46,NA,NA,T 1 N/S R 2 E/W S NW/SE 1/4,Whitewater River,Desert Hot Springs,,NA-NA,NA,,Stream discharge,,,,,,,,,,,,,,,,
34,2846,46,NA,NA,T 1 N/S R 2 E/W S NW/SE 1/4,Mission Creek,Mission Creek,,NA-NA,NA,,Stream discharge,,,,,,,,,,,,,,,,
35,2846,46,NA,NA,T 1 N/S R 2 E/W S NW/SE 1/4,Garnet Hill,Garnet Hill,,NA-NA,NA,,Stream discharge,,,,,,,,,,,,,,,,
36,2846,46,NA,NA,T 1 N/S R 2 E/W S NW/SE 1/4,Total,Total,,NA-NA,NA,,Stream discharge,,,,,,,,,,,,,,,,
37,56394,254,,,NA,NA,NA,NA,01/01/YYYY-12/31/YYYY,DAILY,AC-FT,Precipitation,,,,,,,,,,,,,,,,
38,56394,254,,,NA,NA,NA,NA,01/01/YYYY-12/31/YYYY,DAILY,AC-FT,Precipitation,,,,,,,,,,,,,,,,
39,56394,254,,,NA,NA,NA,NA,01/01/YYYY-12/31/YYYY,DAILY,AC-FT,Precipitation,,,,,,,,,,,,,,,,
