,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,RESOLUTION,UNITS_USED,WATER_TYPE,Water_TYPE,Water_Type
18,10372,13,NA,NA,28 E.,NA,Mount Diablo Base Line and Meridian,NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,,
19,10372,13,NA,NA,29 E.,NA,Mount Diablo Base Line and Meridian,NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,,
20,10372,13,NA,NA,30 E.,NA,Mount Diablo Base Line and Meridian,NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,,
21,10372,13,NA,NA,Tps. 11 & 12 N.,NA,San Bernardino Base Line and Meridian,NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,,
22,48176,27,37.0667,-121.9833,NA,"Pajaro Valley, California",NA,Santa Cruz,01/01/1963-12/31/1968,Yearly,Acre-feet,Groundwater,,
23,48176,27,NA,NA,NA,"Pajaro Valley, California",NA,Santa Cruz,01/01/1963-12/31/1968,Yearly,Acre-feet,Groundwater,,
24,48176,27,NA,NA,NA,"Pajaro Valley, California",NA,Santa Cruz,01/01/1963-12/31/1968,Yearly,Acre-feet,Groundwater,,
25,3067,266,NA,NA,NA,NA,NA,NA,01/01/1949-31/12/2013,yearly,NA,Other (self-define),,
26,3067,266,NA,NA,NA,NA,NA,NA,01/01/1949-31/12/2013,yearly,NA,Other (self-define),,
27,3067,266,NA,NA,NA,NA,NA,NA,01/01/1949-31/12/2013,yearly,NA,Other (self-define),,
28,28950,19,NA,NA,NA,NA,NA,NA,DD/MM/YYYY-DD/MM/YYYY,NA,NA,Other (self-define),,
29,28950,19,NA,NA,NA,NA,NA,NA,DD/MM/YYYY-DD/MM/YYYY,NA,NA,Other (self-define),,
30,28950,19,NA,NA,NA,NA,NA,NA,DD/MM/YYYY-DD/MM/YYYY,NA,NA,Other (self-define),,
31,25076,28,NA,NA,Erskine Creek near Isabella T # N/S,Erskine Creek,Isabella,NA,1910-11-1924-25,monthly,NA,Stream,,
32,25076,28,NA,NA,Basin Creek near Havilah T # N/S,Basin Creek,Havilah,NA,1910-11-1924-25,monthly,NA,Stream,,
33,25076,28,NA,NA,Tejon House Creek at Tejon ranch house T # N/S,Tejon House Creek,Tejon Ranch House,NA,1910-11-1924-25,monthly,NA,Stream,,
34,25076,32,36.5125,-119.05,"T 2 N/S, R 3 E/W, S NE/SE 1/4",Kaweah River,Lemon Cove,Tulare,01/10/1902-30/09/1927,monthly,NA,Stream,,
35,25076,32,36.5125,-119.05,"T 2 N/S, R 3 E/W, S NE/SE 1/4",Kaweah River,Lemon Cove,Tulare,01/10/1902-30/09/1927,monthly,NA,Stream,,
36,25076,32,36.5125,-119.05,"T 2 N/S, R 3 E/W, S NE/SE 1/4",Kaweah River,Lemon Cove,Tulare,01/10/1902-30/09/1927,monthly,NA,Stream,,
37,2846,46,NA,NA,NA,Desert Hot Springs,Desert Hot Springs,NA,NA-NA,yearly,acre-feet,Groundwater,,
38,2846,46,NA,NA,NA,Mission Creek,Mission Creek,NA,NA-NA,yearly,acre-feet,Groundwater,,
39,2846,46,NA,NA,NA,Garnet Hill,Garnet Hill,NA,NA-NA,yearly,acre-feet,Groundwater,,
40,2846,46,NA,NA,NA,Whitewater River,Whitewater River,NA,NA-NA,yearly,acre-feet,Groundwater,,
41,56394,254,NA,NA,NA,NA,OCT-SEP,NA,01/10/2022-30/09/2022,daily,t,Precipitation,,
42,56394,254,NA,NA,NA,NA,OCT-SEP,NA,01/10/2022-30/09/2022,daily,t,Precipitation,,
43,56394,254,NA,NA,NA,NA,OCT-SEP,NA,01/10/2022-30/09/2022,daily,t,Precipitation,,
