,ID,PAGE_NUMBER,Latitude,Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type
12,70038673,88,33.805,-116.5583333,"{'Latitude': 33.805, 'Longitude': -116.5583333}","['NE1/4 SW1/4 sec. 22, T.4 S., R.4 E.']",Tahquitz Creek,Riverside County,10/01/1947-09/30/1968,daily,"{'Discharge': 'cubic feet per second (cfs)', 'Accumulated_Flow': 'acre-feet'}",Stream discharge
13,1166,32,40.7666667,-123.4166667,"Weaverville, California",,Precipitation at Weaverville,Trinity County,1869-10/01/1878-09/30,Monthly,Inches,Precipitation
14,1166,32,39.5833333,-122.0,"Jacinto, California",,Precipitation at Jacinto,Glenn County,1892-10/01/1901-04/30,Monthly,Inches,Precipitation
15,29192,83,37.9012,-122.0577,"near Walnut Creek, California",[],Walnut Creek at Walnut Creek,Alameda County,1909-01-01-1966-12-31,Annual intervals from 1909 to 1966,"{'Water_Discharge': 'ft3/s', 'Sediment_Discharge_Suspended': 'ton/d', 'Sediment_Discharge_Sand': 'ton/d', 'Suspended_Sediment_Yield': 'ton/mi²'}",Stream discharge
16,29192,83,38.485,-122.4903,"near St. Helena, California",[],Napa River near St. Helena,Napa County,1909-01-01-1966-12-31,Annual intervals from 1909 to 1966,"{'Water_Discharge': 'ft3/s', 'Sediment_Discharge_Suspended': 'ton/d', 'Sediment_Discharge_Sand': 'ton/d', 'Total_Sediment_Discharge': 'ton/d', 'Suspended_Sediment_Yield': 'ton/mi²'}",Stream discharge
17,29192,83,38.4319,-122.8514,"at Boyes Hot Springs, California",[],Sonoma Creek at Boyes Hot Springs,Sonoma County,1909-01-01-1966-12-31,Annual intervals from 1909 to 1966,"{'Water_Discharge': 'ft3/s', 'Sediment_Discharge_Suspended': 'ton/d', 'Total_Sediment_Discharge': 'ton/d', 'Suspended_Sediment_Yield': 'ton/mi²'}",Stream discharge
18,499,193,38.5,-120.2,"{'Latitude': 38.5, 'Longitude': -120.2}","['SE1 sec. 33, T. 8 N. R. 16 E.']",Salt Springs Reservoir,Calaveras County,03/01/1931-09/30/1936,Daily,Acre-feet,Reservoir
19,52982,46,34.494444,-119.829167,About 1.0 mile above point of diversion near Strawberry flats,[],Sawyer Estate Spring,Kern County,10/12/1949-04/20/1950,Variable (based on provided dates),"{'Lischarge': ['Second-feet', 'Gals, per min.'], 'Temperature': ['°F']}",Springs
20,1585,72,33.7432,-117.8531,"Near Villa Park, California","['SW. 1/4 sec. 13', 'T. 4 S.', 'R. 9 W.']",Serrano & Carpenter Canal,Orange County,08/01/1920-09/30/1931,Daily,Second-feet for discharge; acre-feet for run-off,Stream discharge
21,56412,289,38.358056,-121.342778,"Lat 38°21'29"" long 121°20'34""","['T.6 N., R.6 E., sec .20']",COSUMNES RIVER AT McCONNELL,Sacramento County,10/01/1971-09/30/1972,Daily,cubic feet per second (cfs) and acre-feet (acre-ft),Stream discharge
22,667,382,37.873611,-121.726389,"Near Byron, Calif.",[],Marsh Creek,Contra Costa,10/01/1953-09/30/1954,Daily,cubic feet per second (cfs),Stream discharge
23,15,321,39.0836,-121.6847,"Bitney, California",[],Sacramento River Main Stem,Sutter County,10/01/1946-09/30/1950,Monthly,"{'Discharge': 'cubic feet per second', 'Runoff': 'thousands of acre-feet'}",Stream discharge
24,3174,124,36.8985,-121.6983,"San Lorenzo River Basin, California",[],Zayante Creek,Santa Cruz County,02/01/1970-09/30/1970,Daily,"{'Discharge': 'CFS (cubic feet per second)', 'Concentration': 'MG/L (milligrams per liter)', 'Sediment_Discharge': 'TONS/DAY'}",Stream discharge
25,70038393,328,40.2333,-121.4639,"40°14'00"", long 121°27'50""","['T. 27 N., R.4 E., sec.1']",Deer Creek below Slate Creek,Placer County,08/01/1961-09/30/1962,Daily,"{'Discharge': 'cubic feet per second (CFS)', 'Gage_Height': 'feet'}",Stream discharge
26,695,32,32.679167,-116.672222,"near Dulzura, Calif.","['NW1 sec. 22, T. 17 S., R. 3 E.']",Cottonwood Creek at Barrett Dam,San Diego County,"01/1906-12/1915, 10/1945-09/1957",daily,"{'Gage height': 'feet', 'Contents': 'acre-feet', 'Change in contents': 'acre-feet', 'Draft': 'acre-feet', 'Evaporation': 'acre-feet', 'Spill plus leakage': 'acre-feet', 'Inflow': 'acre-feet'}",Stream discharge
27,2060,314,34.637,-120.455,"About 5.5 miles west-northwest of Lompoc, 1.4 miles north of State Highway 150 (Ocean Avenue), 0.23 mile west of Union Sugar Avenue, 15 feet south of irrigation well 7/35-23E2.",['N/A'],Ground-Water Basin,Santa Barbara County,1930-06/28-1942-12/24,Monthly to Bi-weekly,"{'Water_Level_Before_1941': 'feet above or below (-) sea-level datum of 1929', 'Water_Level_After_1940': 'feet below land-surface datum'}",Groundwater well
28,57549,608,34.430278,-119.821111,"La Goleta Grant, on right bank south of Avenue on Kellogg Avenue, 0.5 mi southeast of Goleta",[],SAN JOSE CREEK,Santa Barbara County,10/01/1970-Current Year,Daily (October 1970 to current year),"{'Discharge': ['ft3/s', 'm3/s'], 'Gage_height': 'ft, m'}",Stream discharge
29,733,327,34.0333,-118.0833,Los Angeles River Basin,[],Rio Hondo near Montebello,Los Angeles County,10/01/1961-09/30/1962,Daily,Cubic feet per second,Stream discharge
30,733,327,,,"Rio Hondo basin, 1.6 miles upstream from Rio Hondo near Montebello",[],Colorado River water via Alhambra Wash,Los Angeles County,1961-1962,Annual,Acre-feet,Groundwater recharge
31,70038414,349,,,"{'Latitude': 39.723611, 'Longitude': -122.046389}",[],Stony Creek,Glenn County,10/01/1968-09/30/1969,daily,cubic feet per second (cfs),Stream discharge
32,56362,91,36.6214,-121.6432,"Near Spreckels, California",[],SALINAS RIVER NEAR SPRECKELS,Monterey,10/02/1974-09/09/1975,Daily to Water Year,"{'Conductance': 'Microsiemens per centimeter (µS/cm)', 'Temperature': 'Degrees Celsius (°C)', 'Sediment Concentration': 'Milligrams per liter (mg/L)', 'Sediment Discharge': 'Tons', 'Dissolved Silica (SiO2)': 'Milligrams per liter (mg/L)', 'Total Iron (Fe)': 'Micrograms per liter (µg/L)', 'Dissolved Iron (Fe)': 'Micrograms per liter (µg/L)', 'Total Manganese (Mn)': 'Micrograms per liter (µg/L)', 'Suspended Manganese (Mn)': 'Micrograms per liter (µg/L)', 'Dissolved Manganese (Mn)': 'Micrograms per liter (µg/L)', 'Dissolved Calcium (Ca)': 'Milligrams per liter (mg/L)', 'Dissolved Magnesium (Mg)': 'Milligrams per liter (mg/L)', 'Dissolved Sodium (Na)': 'Milligrams per liter (mg/L)', 'Dissolved Potassium (K)': 'Milligrams per liter (mg/L)', 'Bicarbonate (HCO3)': 'Milligrams per liter (mg/L)', 'Carbonate (CO3)': 'Milligrams per liter (mg/L)', 'Alkalinity as CaCO3': 'Milligrams per liter (mg/L)', 'Dissolved Sulfate (SO4)': 'Milligrams per liter (mg/L)', 'Dissolved Chloride (Cl)': 'Milligrams per liter (mg/L)', 'Dissolved Fluoride (F)': 'Milligrams per liter (mg/L)', 'Dissolved Nitrate (N)': 'Milligrams per liter (mg/L)', 'Dissolved Nitrite (N)': 'Milligrams per liter (mg/L)'}",Stream discharge
33,3033,75,33.473889,-117.141667,"Temecula Grant, on left bank at upper end of Temecula Canyon, 0.1 mile downstream from Murrieta Creek and 1.4 miles south of Temecula",[],Murrieta Creek at Temecula,Riverside County,02/05/1931-02/14/1962,Varies (individual dates),"{'Gage_height': 'feet', 'Discharge': 'cubic feet per second (cfs)'}",Stream discharge
34,70039753,291,,,"At gaging station, 0.2 mile downstream from Black Butte River and 8.6 miles east of Covelo, Mendocino County",[],Middle Fork Eel River Below Black Butte River,Mendocino County,10/01/1962-09/30/1963,Monthly,°F (degrees Fahrenheit),Stream discharge
35,810,75,34.0175,-118.12,"Near Montebello, Coastal Plain",,Lycan Bros. Well,Los Angeles County,1928-10-08 to 1952-11-28,Monthly,Feet below land-surface datum (lsd),Groundwater well
36,810,75,33.93,-118.12,"Near Downey, Coastal Plain",,Los Angeles County Farm Well,Los Angeles County,1930-01-07 to 1952-10-06,Monthly,Feet below land-surface datum (lsd),Artesian well
37,194,609,41.765,-124.217,"0.5 mile downstream from South Fork, and 8 miles east of Crescent City",[],SMITH RIVER NEAR CRESCENT CITY,Del Norte County,10/01/1963-09/30/1964,Monthly,"{'pH': '', 'Specific_conductance': 'micro-mhos at 25°C', 'Sodium_adoption_ratio': '', 'Hardness_CaCO3_as_Non_carbonate': 'mg/L as CaCO3', 'Calcium_Magnesium_hardness': 'mg/L as CaCO3', 'Solids_Dissolved_Tons_per_day': 'Tons/day', 'Solids_Dissolved_Tons_per_acre-foot': 'Tons/acre-foot', 'Solids_Parts_per_million': 'ppm', 'Boron': 'mg/L', 'Nitrate': 'mg/L as N', 'Fluoride': 'mg/L', 'Chloride': 'mg/L', 'Sulfate': 'mg/L', 'Carbonate': '', 'Bicarbonate': 'mg/L as CaCO3', 'Potassium_Sodium': 'mg/L', 'Magnesium': 'mg/L', 'Calcium': 'mg/L', 'Iron_Silica': 'mg/L', 'Mean_discharge_cfs': 'cubic feet per second'}",Stream discharge
