water_type_final,county,n_tables,n_measurements
Groundwater,CLARA SANTA,1,0.0
Groundwater,"Cache County, Utah, within Great Basin Region",1,18.0
Groundwater,Calaveras,21,537.0
Groundwater,Calaveras County,157,3178.0
Groundwater,"Calaveras County, California",12,432.0
Groundwater,California,64,1589.0
Groundwater,California (Based on USGS well number),1,22.0
Groundwater,California (Based on document origin),1,26.0
Groundwater,California (General Inference),1,40.0
Groundwater,California (General),4,74.0
Groundwater,California (Southwestern States),1,3.0
Groundwater,California (assumed),1,35.0
Groundwater,California (based on context and location data),1,12.0
Groundwater,California (based on context),2,43.0
Groundwater,California (based on document context),1,18.0
Groundwater,California (based on general context),1,36.0
Groundwater,California (based on general document context),1,40.0
Groundwater,California (exact county needs inference),4,12.0
Groundwater,California (general),3,41.0
Groundwater,California (generalized due to lack of specific location data),1,19.0
Groundwater,California (inference based on context),1,16.0
Groundwater,California (inference based on document context),4,98.0
Groundwater,California (inference required),3,34.0
Groundwater,California (inferred based on state context),1,40.0
Groundwater,California (inferred from State),3,70.0
Groundwater,California (inferred from context),2,61.0
Groundwater,California (inferred from document context),1,35.0
Groundwater,California (inferred from document origin),1,40.0
Groundwater,California (inferred from the document metadata),1,32.0
Groundwater,California (inferred),4,68.0
Groundwater,California (multiple counties possible based on dates and context),1,24.0
Groundwater,California (multiple counties possible based on well distribution),1,74.0
Groundwater,California (multiple counties possible),1,38.0
Groundwater,California (specific county inferred based on nearby known locations),1,13.0
Groundwater,California (specific county inferred from township ranges),1,72.0
Groundwater,California (specific county not provided),6,104.0
Groundwater,California - General Inference Required,1,12.0
Groundwater,California - Inferred from data context,1,31.0
Groundwater,California - Ralston Valley,3,16.0
Groundwater,California - based on statewide water data context,1,37.0
Groundwater,California Central Valley Region,1,40.0
Groundwater,California Counties (based on typical altitude and well type distribution),1,15.0
Groundwater,California County,7,96.0
Groundwater,California County (Based on TRS),1,26.0
Groundwater,California County (Based on context),2,77.0
Groundwater,California County (General Inference),1,21.0
Groundwater,California County (Inferred),1,10.0
Groundwater,California County (assumed based on data source),1,36.0
Groundwater,California County (assumed based on state),1,40.0
Groundwater,California County (based on State),1,24.0
Groundwater,California County (based on TRS and context),1,20.0
Groundwater,California County (based on altitude and general location context),2,40.0
Groundwater,California County (based on context),2,73.0
Groundwater,California County (based on data context),1,12.0
Groundwater,California County (based on data source location),1,37.0
Groundwater,California County (based on test-well activity),1,19.0
Groundwater,"California County (based on wells, likely in Central Valley or nearby)",1,15.0
Groundwater,California County (general inference based on document origin),1,12.0
Groundwater,California County (inference needed),1,13.0
Groundwater,California County (inferred based on location and data sources),1,53.0
Groundwater,California County (inferred from Mokelumne area),1,73.0
Groundwater,California County (requires additional data for precise inference),1,27.0
Groundwater,California County (requires more context for precise inference),1,16.0
Groundwater,California County Based on Drilling Location,2,24.0
Groundwater,California County Inference Needed,1,23.0
Groundwater,California County Inference Required,8,119.0
Groundwater,California County Inferred,1,1.0
Groundwater,California County Inferred Based on Context,5,42.0
Groundwater,California County based on altitude and historical context,4,26.0
Groundwater,California County based on company location,3,26.0
Groundwater,"California County based on context (e.g., Los Angeles, San Francisco)",1,44.0
Groundwater,California County based on context or additional data sources,1,37.0
Groundwater,California County based on drilling activity context,1,7.0
Groundwater,California County based on proximity to a river (assumed),2,10.0
Groundwater,California County with wells,1,40.0
Groundwater,California General,2,65.0
Groundwater,California General Inference,1,7.0
Groundwater,California General Location,1,40.0
Groundwater,California Outlying Areas,1,34.0
Groundwater,California counties near coastal plains and agricultural areas,1,13.0
Groundwater,California county with alkali soil issues,1,12.0
Groundwater,"California, Inferred based on geological formations typical in California",1,10.0
Groundwater,"California, inferred from context of data",1,18.0
Groundwater,"California, likely within a geothermal energy zone",1,44.0
Groundwater,"California, specific county inferred from Westbury location",1,28.0
Groundwater,Carpenteria County Water District,1,0.0
Groundwater,Carpinteria,2,30.0
Groundwater,Carpinteria County,6,14.0
Groundwater,Carpinteria County Water District,2,0.0
Groundwater,Central California,1,85.0
Groundwater,Central California (based on water year data collection period and typical agricultural areas),2,13.0
Groundwater,"Central Valley, California",1,18.0
Groundwater,"Central Valley, California (inferred based on typical aquifer locations)",1,37.0
Groundwater,"Central Valley, California (inferred based on typical dissolved solids concentration)",1,68.0
Groundwater,"Central Valley, likely Kern County based on groundwater context and typical study areas in California",1,28.0
Groundwater,Chaves County,10,85.0
Groundwater,"Chaves County, New Mexico",6,138.0
Groundwater,Chico area,1,3.0
Groundwater,Churchill County,3,12.0
Groundwater,"Cibola County, New Mexico",1,13.0
Groundwater,Clara,1,23.0
Groundwater,Clark County,9,175.0
Groundwater,"Clark County, Nevada",3,47.0
Groundwater,"Clark County, Nevada (near Ivanpah Valley)",1,26.0
Groundwater,Co,3,7.0
Groundwater,Coachella Valley,1,12.0
Groundwater,Coastal County of the United States (likely in California given context),1,7.0
Groundwater,Cochise,3,44.0
Groundwater,Cochise County,2,42.0
Groundwater,Coconino County,2,24.0
Groundwater,Columbia,1,16.0
Groundwater,Colusa,1,17.0
Groundwater,Colusa County,9,199.0
Groundwater,Contra Costa County,12,236.0
Groundwater,Contra Costa County (based on Oro Loma location),1,18.0
Groundwater,"Contra Costa County, Alameda County",1,8.0
Groundwater,"Contra Costa County, California",2,45.0
Groundwater,County inferred based on common Geological Survey locations,1,40.0
Groundwater,Cronise Valleys,1,18.0
Groundwater,Cumberland County,1,27.0
Groundwater,"Cumberland County, New Jersey; Kent County, Delaware",1,5.0
Groundwater,Deadman Basin (likely part of Imperial County or a similar region in California),2,15.0
Groundwater,Del Norte,3,39.0
Groundwater,Del Norte County,11,36.0
Groundwater,"Del Norte County, California",2,8.0
Groundwater,Douglas County,6,70.0
Groundwater,"Douglas County, California",1,5.0
Groundwater,Downey,1,14.0
Groundwater,E -12,1,31.0
Groundwater,"EDDY COUNTY, New Mexico",2,33.0
Groundwater,"Edison County or Maricopa County, California",1,15.0
Groundwater,"Edison-Maricopa Area, California",1,32.0
Groundwater,El Dorado,1,12.0
Groundwater,El Dorado County,6,101.0
Groundwater,"El Dorado County, California",1,51.0
Groundwater,"El Dorado County, Placer County, Douglas County, Washoe County",1,15.0
Groundwater,Elko County,3,23.0
Groundwater,"Elko County, Nevada",3,24.0
Groundwater,Esmeralda County,2,16.0
Groundwater,"Esmeralda County, California",1,5.0
Groundwater,"Esmeralda County, California (partially)",1,4.0
Groundwater,"Esmeralda County, NV; Mono County, CA",1,5.0
Groundwater,"Esmeralda County, Nev.",1,48.0
Groundwater,"Esmeralda County, Nevada",1,4.0
Groundwater,"Esmeralda County, Nevada (near California border)",1,62.0
Groundwater,"Esmeralda, Nevada",1,1.0
Groundwater,Fresno,21,322.0
Groundwater,Fresno County,95,1530.0
Groundwater,"Fresno County, CA",1,65.0
Groundwater,"Fresno County, California",4,168.0
Groundwater,Fresno and Kings Counties,2,6.0
Groundwater,"Fresno, Tulare, Kings",1,71.0
Groundwater,Glenn County,15,230.0
Groundwater,"Glenn County, California",1,5.0
Groundwater,"Graham County, Arizona",2,14.0
Groundwater,"Great Basin Region counties including portions of Nevada, Utah, and California",1,10.0
Groundwater,"Great Basin Region, California",1,11.0
Groundwater,Greenlee County,2,4.0
Groundwater,"Greenlee County, Arizona (Error in document)",1,5.0
Groundwater,HUMBOLDT,5,19.0
Groundwater,HUMBOLDT COUNTY,1,3.0
Groundwater,Hamilton County,1,15.0
Groundwater,Hanford-Visalia area,1,4.0
Groundwater,"Harper Valley County, CA (inferred)",1,20.0
Groundwater,Hawaii County,18,261.0
Groundwater,"Hawaii County, Oahu District (Hypothetical for JSON context)",6,29.0
Groundwater,Hawai‘i County,3,24.0
Groundwater,Hidalgo County,8,24.0
Groundwater,"Hidalgo County, New Mexico",2,46.0
Groundwater,High Valley County (Inferred),2,10.0
Groundwater,Hill B. Co.,1,16.0
Groundwater,Hill Co.,1,13.0
Groundwater,Honolulu,7,90.0
Groundwater,Honolulu County,40,795.0
Groundwater,"Honolulu County, Hawaii",19,471.0
Groundwater,"Hudspeth County, Presidio County",1,7.0
Groundwater,Humboldt,4,72.0
Groundwater,Humboldt County,62,685.0
Groundwater,"Humboldt County, Nevada",1,5.0
Groundwater,"Huntington Beach, CA",1,12.0
Groundwater,Imperial,12,253.0
Groundwater,Imperial County,417,7805.0
Groundwater,Imperial County (inferred based on township range section),1,13.0
Groundwater,Imperial County (inferred from context of Southwestern States),4,9.0
Groundwater,"Imperial County, CA",7,216.0
Groundwater,"Imperial County, California",37,524.0
Groundwater,"Imperial County, California (based on coordinates)",1,0.0
Groundwater,"Imperial, CA (Inferred from location)",3,5.0
Groundwater,"In Surprise Spring Basin, likely a county in California such as Inyo or Mono",1,21.0
Groundwater,"Infer from Great Basin region, possibly in multiple counties",1,59.0
Groundwater,Inferred,5,70.0
Groundwater,Inferred County,1,3.0
Groundwater,Inferred County Based on Location Data,1,23.0
Groundwater,Inferred County Based on Map Number,1,36.0
Groundwater,Inferred County based on Altitude,2,33.0
Groundwater,Inferred County based on Map Number,1,16.0
Groundwater,Inferred County based on chemical analysis context within California,1,38.0
Groundwater,Inferred County based on context and chemical concentrations,1,38.0
Groundwater,Inferred County based on coordinates,1,18.0
Groundwater,Inferred County based on depth and altitude in California,1,9.0
Groundwater,Inferred County based on location context in California,1,4.0
Groundwater,"Inferred County based on proximity to altitude 2,866.5 feet and depth",1,33.0
Groundwater,Inferred County based on proximity to known U.S. Borax operations in California,2,32.0
Groundwater,Inferred County from Northern California based on context,1,12.0
Groundwater,Inferred County from Table Data,1,23.0
Groundwater,Inferred County in California,1,40.0
Groundwater,Inferred San Joaquin County,1,40.0
Groundwater,"Inferred as Kings County, California based on the township information provided.",1,42.0
Groundwater,Inferred as Mono County (based on context and known locations),1,17.0
Groundwater,Inferred based on 7N/35W township range section and depth information from California well data.,4,19.0
Groundwater,Inferred based on California well number system,1,15.0
Groundwater,Inferred based on California well survey data,1,22.0
Groundwater,"Inferred based on Township Range Section 11S/6E-4D1, likely in California.",1,58.0
Groundwater,Inferred based on common California aquifers and wells,1,34.0
Groundwater,Inferred based on depth and altitude,1,4.0
Groundwater,Inferred based on geographical context within California,3,35.0
Groundwater,Inferred based on location data in California,3,47.0
Groundwater,Inferred based on location data or context,1,21.0
Groundwater,Inferred based on proximity to known water sources in California,2,34.0
Groundwater,Inferred based on proximity to known water sources in the region.,1,45.0
Groundwater,Inferred based on township range section,1,10.0
Groundwater,Inferred based on well coordinates and altitude,3,16.0
Groundwater,"Inferred based on well number, likely in a southern California county with such survey grid coordinates.",1,31.0
Groundwater,Inferred from Altitude,3,32.0
Groundwater,"Inferred from Borax, California context",1,30.0
Groundwater,Inferred from California,2,64.0
Groundwater,Inferred from California context,2,37.0
Groundwater,Inferred from California geography based on water-bearing descriptions,1,22.0
Groundwater,Inferred from California location data,2,43.0
Groundwater,"Inferred from Earth Laboratory, U.S. Bureau of Reclamation, Denver, Colo.",2,55.0
Groundwater,"Inferred from GPS coordinates, likely in a county with similar geological features",1,11.0
Groundwater,"Inferred from Haystack Butte Area, California",1,11.0
Groundwater,"Inferred from Hoover wilderness area, likely Alpine or Inyo County",1,33.0
Groundwater,"Inferred from Lucerne Valley in California, likely Kern County",1,25.0
Groundwater,Inferred from State Well Number,1,11.0
Groundwater,Inferred from State Well Number and California location data,1,27.0
Groundwater,Inferred from State Well Number: Inyo County,1,60.0
Groundwater,Inferred from State of California context,1,14.0
Groundwater,Inferred from State of California data,1,15.0
Groundwater,Inferred from State well No. and Aquifer penetration,1,28.0
Groundwater,Inferred from Township Range Section (11S/6E-3C1),2,33.0
Groundwater,Inferred from Township Ranges Sections,7,54.0
Groundwater,Inferred from USGS well number,2,24.0
Groundwater,Inferred from USGS well number and location data,1,14.0
Groundwater,Inferred from X2380,1,64.0
Groundwater,Inferred from altitude and USGS well number,1,12.0
Groundwater,Inferred from context (likely California),1,24.0
Groundwater,Inferred from context based on USGS data and common sources in California,1,15.0
Groundwater,"Inferred from context, likely part of California based on State data",1,2.0
Groundwater,"Inferred from context, not specified in document",5,139.0
Groundwater,"Inferred from context, possibly a county in California with wells",1,28.0
Groundwater,Inferred from context: Los Angeles County,1,56.0
Groundwater,Inferred from coordinates,1,10.0
Groundwater,"Inferred from coordinates 8N, 35W",5,13.0
Groundwater,Inferred from coordinates in California,2,3.0
Groundwater,Inferred from data,1,12.0
Groundwater,Inferred from data (assumed based on common locations for seeps in California),1,16.0
Groundwater,"Inferred from data context (e.g., based on altitude and latitude)",1,13.0
Groundwater,Inferred from document context,1,10.0
Groundwater,Inferred from document context: Possibly within California's general region due to reference,1,41.0
Groundwater,"Inferred from geographical context, possibly within California",3,16.0
Groundwater,"Inferred from geological context, likely in Imperial County",1,46.0
Groundwater,Inferred from latitude and longitude data,1,68.0
Groundwater,Inferred from location context,1,33.0
Groundwater,Inferred from location data,9,62.0
Groundwater,Inferred from location data and context,1,32.0
Groundwater,Inferred from location data within California,1,21.0
Groundwater,"Inferred from location details, if any",1,19.0
Groundwater,Inferred from location within California,1,68.0
Groundwater,Inferred from map number: 11S/13E-33L01 S,1,43.0
Groundwater,Inferred from spatial data or other contextual clues,2,21.0
Groundwater,Inferred from township range section data,2,46.0
Groundwater,Inferred from township range section: Inyo County,1,22.0
Groundwater,Inferred from water temperature data context,2,55.0
Groundwater,Inferred to be in California based on document context,1,12.0
Groundwater,Inferred to be in California based on the document context,2,34.0
Groundwater,Inferred: Inyo County,1,17.0
Groundwater,Inferred: Kern County,1,19.0
Groundwater,Inferred: San Bernardino County,2,19.0
Groundwater,InferredCounty1,1,60.0
Groundwater,Inferred_County,7,79.0
Groundwater,Inferred_Los_Angeles,1,4.0
Groundwater,Inferred_Mono,1,23.0
Groundwater,Inferred_San Luis Obispo County,10,113.0
Groundwater,Inferred_Unknown,2,24.0
Groundwater,Interior Alaska (Region),1,13.0
Groundwater,Inyo,3,103.0
Groundwater,Inyo County,73,737.0
Groundwater,"Inyo County, California",1,7.0
Groundwater,Joaquin,1,13.0
Groundwater,Joaquin County,1,11.0
Groundwater,Just west of Tulare-Wasco area,1,11.0
Groundwater,KERN,4,5.0
Groundwater,KERN COUNTY,32,293.0
Groundwater,Kalin Co.,2,31.0
Groundwater,Kalin County,2,45.0
Groundwater,Kauai County,3,13.0
Groundwater,Kern,37,482.0
Groundwater,Kern County,256,3363.0
Groundwater,"Kern County, California",24,378.0
Groundwater,"Kern County, California (based on Pinto Basin location)",1,21.0
Groundwater,Kern and Tulare Counties,2,29.0
Groundwater,Kings,1,20.0
Groundwater,Kings County,29,434.0
Groundwater,Kings County (Pixley area),1,6.0
Groundwater,"Kings County, California",4,87.0
Groundwater,"Kings County, Fresno County",1,3.0
Groundwater,Kings and Kern Counties,11,146.0
Groundwater,"Kings and Kern Counties, Calif.",2,70.0
Groundwater,Klamath County,3,152.0
Groundwater,"LEA COUNTY, NEW MEXICO",1,20.0
Groundwater,LOS ANGELES,4,13.0
Groundwater,LOS ANGELES COUNTY,16,36.0
Groundwater,"LUNA COUNTY, NEW MEXICO",1,31.0
Groundwater,Laguna County District,1,17.0
Groundwater,Lake,2,62.0
Groundwater,Lake County,41,356.0
Groundwater,"Lake County, Calif.",1,15.0
Groundwater,"Lake, Shasta",1,37.0
Groundwater,Lancaster,2,47.0
Groundwater,Lane County,2,39.0
Groundwater,Lassen County,3,50.0
Groundwater,"Lassen County, California (inferred from the Great Basin region)",1,46.0
Groundwater,Lea County,6,52.0
Groundwater,Liberty,1,24.0
Groundwater,Likely a county in California based on altitude and location context,4,24.0
Groundwater,Likely a high-altitude county in California such as Sierra or Inyo County,3,34.0
Groundwater,Likely in a Californian county with significant water quality studies,1,31.0
Groundwater,"Likely in a county with similar geological features to those described, such as Los Angeles or Ventura County due to the presence of blue clay and gravel layers.",2,37.0
Groundwater,"Likely located in a county with similar environmental conditions as described in the document, possibly within Northern California due to climate and lake characteristics.",1,12.0
Groundwater,Likely one of California's counties based on typical water source locations,1,11.0
Groundwater,"Likely within California, specific county unknown",1,23.0
Groundwater,"Lincoln County, New Mexico",7,22.0
Groundwater,Lompoc,2,12.0
Groundwater,Los Angeles,113,2211.0
Groundwater,Los Angeles County,704,14657.0
Groundwater,Los Angeles County (Antelope Valley region),1,35.0
Groundwater,Los Angeles County (Long Beach-Santa Ana Area),1,24.0
Groundwater,Los Angeles County (based on LADWP No. and well location),1,54.0
Groundwater,Los Angeles County (inferred based on typical drilling activities),1,22.0
Groundwater,Los Angeles County and Orange County,1,14.0
Groundwater,"Los Angeles County, California",7,205.0
Groundwater,"Los Angeles County, Orange County",1,16.0
Groundwater,"Los Angeles County, Orange County, and Riverside County",1,25.0
Groundwater,Los Angeles and Orange Counties,1,9.0
Groundwater,"Los Angeles, California",3,23.0
Groundwater,"Luccrne Valley, California",1,25.0
Groundwater,Luna County,7,27.0
Groundwater,"Luna County, New Mexico",2,61.0
Groundwater,Madera,2,26.0
Groundwater,Madera County,34,379.0
Groundwater,Maricopa,4,38.0
Groundwater,Marin,3,47.0
Groundwater,Marin County,1,47.0
Groundwater,Marion County,1,11.0
Groundwater,Matanuska-Susitna,1,11.0
Groundwater,Maui,2,9.0
Groundwater,Maui County,4,20.0
Groundwater,McKinley,1,7.0
Groundwater,Mendocino,7,47.0
Groundwater,Mendocino County,50,366.0
Groundwater,"Mendocino County, California",1,7.0
Groundwater,"Mendota-Huron Area, California",1,19.0
Groundwater,"Mendota-Huron area, California",8,137.0
Groundwater,Merced,10,275.0
Groundwater,Merced County,39,605.0
Groundwater,"Merced County, California",8,119.0
Groundwater,"Merced County, Fresno County",1,21.0
Groundwater,"Merced, Fresno",2,26.0
Groundwater,Mineral County,1,31.0
Groundwater,Mississippi County,2,17.0
Groundwater,Modoc,2,69.0
Groundwater,Modoc County,10,34.0
Groundwater,"Modoc County, CA",2,9.0
Groundwater,"Modoc County, California",5,44.0
Groundwater,Mohave County,4,23.0
Groundwater,Mokelumne,8,239.0
Groundwater,Mokelumne Area,1,74.0
Groundwater,"Mokelumne Area, California",12,209.0
Groundwater,Mokelumne County,7,194.0
Groundwater,"Mokelumne County, California",6,109.0
Groundwater,Mokelumne area,1,40.0
Groundwater,"Mokelumne area, California",1,10.0
Groundwater,"Mokelumne, California",5,129.0
Groundwater,Mono County,15,240.0
Groundwater,"Mono County, California",4,81.0
Groundwater,Montana,1,0.0
Groundwater,Montana County,1,18.0
Groundwater,"Montana County, California",1,11.0
Groundwater,Monterey,1,12.0
Groundwater,Monterey County,10,126.0
Groundwater,Monterey County and Salinas Valley Area,1,30.0
Groundwater,"Monterey County, California",3,67.0
Groundwater,Most of the study area in California,1,10.0
Groundwater,Multiple Counties (Feather River Basin),1,10.0
Groundwater,Multiple Counties in California,1,40.0
Groundwater,"Multiple Counties in San Joaquin Valley, California",1,34.0
Groundwater,Multiple Inferences Required,1,12.0
Groundwater,Multiple counties in California based on water well data,1,40.0
Groundwater,"Multiple counties, requires specific location data for precise inference",1,23.0
Groundwater,Napa,61,651.0
Groundwater,Napa County,64,660.0
Groundwater,"Napa County, California",2,26.0
Groundwater,Napa and Sonoma,1,55.0
Groundwater,Napa and Sonoma Valleys,3,27.0
Groundwater,"Napa and Sonoma Valleys, CA",1,52.0
Groundwater,"Near Trench A site, County inferred from regional context",2,47.0
Groundwater,"Neighborhood of Monterey and Salinas, California",2,35.0
Groundwater,Nevada,1,0.0
Groundwater,Nevada County,4,85.0
Groundwater,"Nevada County, CA",1,18.0
Groundwater,"Nevada County, California",3,16.0
Groundwater,"Nevada, California",1,3.0
Groundwater,"Nevada, Washoe County",3,7.0
Groundwater,Nevada/California border area (specific county not given),1,47.0
Groundwater,None Available,1,10.0
Groundwater,None Specified,1,15.0
Groundwater,"Northwestern States, California (assumed)",1,7.0
Groundwater,Not Available,13,318.0
Groundwater,Not Determined,1,68.0
Groundwater,Not Inferred from Document,1,23.0
Groundwater,Not Provided,26,497.0
Groundwater,Not Specified,20,488.0
Groundwater,Not provided,4,58.0
Groundwater,"Not provided in document, inference required based on location data.",1,40.0
Groundwater,Not specified,22,340.0
Groundwater,Not specified in document,2,7.0
Groundwater,Not specified in document; inferred based on context or external data sources may be required.,1,37.0
Groundwater,Not specified in the document,2,82.0
Groundwater,Not specified; requires additional data for inference,1,10.0
Groundwater,Nye County,6,76.0
Groundwater,"Nye County, Nevada",1,4.0
Groundwater,"Nye County, Nevada (but referenced to California)",1,5.0
Groundwater,"Nye County, Nevada / Inyo County, California",1,9.0
Groundwater,"Nye County, Nevada and Churchill County, California",1,3.0
Groundwater,"Nye County, Nevada; Inyo County, California",1,0.0
Groundwater,"Nye County, Nevada; and Alpine County, California",1,0.0
Groundwater,ORANGE COUNTY,7,57.0
Groundwater,"Oahu, Hawaii",2,71.0
Groundwater,Orange,12,152.0
Groundwater,Orange County,126,2466.0
Groundwater,"Orange County (Anaheim, CA)",1,0.0
Groundwater,Orange County (inferred from location names like Anaheim and Vernon),1,10.0
Groundwater,"Orange County, California",12,303.0
Groundwater,Ormsby County,1,11.0
Groundwater,Otero County,8,30.0
Groundwater,Outlying Areas,1,34.0
Groundwater,PINAL COUNTY,2,17.0
Groundwater,Palmale,1,59.0
Groundwater,"Pershing County, Nevada / Inyo County, California",1,6.0
Groundwater,"Pershing County, Nevada and Alpine County, California",1,4.0
Groundwater,Pima County,2,37.0
Groundwater,"Pima County, Arizona",1,7.0
Groundwater,Pinal County,4,21.0
Groundwater,Placer,9,71.0
Groundwater,Placer County,38,657.0
Groundwater,Placer County or Sutter County,1,4.0
Groundwater,"Placer County, California",8,143.0
Groundwater,Plains County,1,10.0
Groundwater,Plumas,4,43.0
Groundwater,Plumas County,5,122.0
Groundwater,Portland,2,19.0
Groundwater,Possible California County based on water analysis data,1,24.0
Groundwater,"Possible Counties based on context: Likely in a county with known well drilling activities such as Los Angeles, San Bernardino, or Riverside.",1,34.0
Groundwater,Possible County based on inferred coordinates within California,1,18.0
Groundwater,Possible Fresno County or similar region based on historical data,1,40.0
Groundwater,"Possible Inference Needed: County likely near the San Joaquin Valley or Central Valley, California",1,12.0
Groundwater,"Possible in areas where continental deposits crop out, specific county inferred based on regional geology",2,8.0
Groundwater,Potential California Central Valley counties based on common groundwater analysis regions,1,24.0
Groundwater,"Potential Counties: Kern, Los Angeles, or San Bernardino (based on common locations of groundwater studies in California)",1,31.0
Groundwater,Potential areas with similar geology in California counties known for ground-water studies,1,45.0
Groundwater,"Presidio County (Texas), Sierra County (New Mexico)",1,12.0
Groundwater,Presumed in the Southwestern States of California based on document context,2,42.0
Groundwater,Quaternary County (inferred),1,10.0
Groundwater,Quay County,5,43.0
Groundwater,RIVERSIDE COUNTY,5,10.0
Groundwater,Ranchos Valley Apple Co. County (based on user data),1,15.0
Groundwater,"Red Rock Valley, Calif.",2,36.0
Groundwater,Redlands (Implied),1,8.0
Groundwater,"Redondo, California",1,18.0
Groundwater,Riverside,55,870.0
Groundwater,Riverside County,176,2250.0
Groundwater,"Riverside County, California",13,218.0
Groundwater,"Riverside, California",4,26.0
Groundwater,"Roosevelt County, New Mexico",2,27.0
Groundwater,Roswell Basin,1,15.0
Groundwater,S. VENTURA COUNTY,5,22.0
Groundwater,SAN BERNARDINO,5,47.0
Groundwater,SAN BERNARDINO COUNTY,30,50.0
Groundwater,SAN DIEGO COUNTY,9,37.0
Groundwater,SAN JOAQUIN COUNTY,3,21.0
Groundwater,SANTA BARBARA COUNTY,10,62.0
Groundwater,SOLANO COUNTY,4,14.0
Groundwater,SONOMA COUNTY,4,23.0
Groundwater,Sacramento,14,524.0
Groundwater,Sacramento County,87,2125.0
Groundwater,Sacramento County (inferred from historical data),1,25.0
Groundwater,"Sacramento County, California",12,152.0
Groundwater,Sacramento Valley,1,6.0
Groundwater,"Sacramento, Calif.",1,24.0
Groundwater,Salinas,1,2.0
Groundwater,"Salt Lake County, Utah",1,19.0
Groundwater,San Antonio Creek Valley Area,1,4.0
Groundwater,"San Antonio Creek Valley, T. 8 N., R. 32 W.",1,0.0
Groundwater,San Benito,1,73.0
Groundwater,San Benito County,16,305.0
Groundwater,San Bernardino,61,1045.0
Groundwater,San Bernardino County,301,4262.0
Groundwater,"San Bernardino County, CA",1,22.0
Groundwater,"San Bernardino County, California",5,122.0
Groundwater,"San Bernardino, Redlands",1,45.0
Groundwater,San Diego,29,428.0
Groundwater,San Diego County,173,2106.0
Groundwater,San Francisco County,1,26.0
Groundwater,San Joaquin,48,881.0
Groundwater,San Joaquin County,149,1977.0
Groundwater,"San Joaquin County, CA",4,6.0
Groundwater,"San Joaquin County, California",20,387.0
Groundwater,San Joaquin Valley,1,63.0
Groundwater,"San Joaquin Valley Counties (e.g., Merced, Stanislaus)",1,69.0
Groundwater,"San Joaquin Valley, Calif.",1,19.0
Groundwater,"San Joaquin Valley, California",3,147.0
Groundwater,San Luis Obispo,28,199.0
Groundwater,San Luis Obispo (near Ballard),2,34.0
Groundwater,San Luis Obispo County,101,802.0
Groundwater,"San Luis Obispo County, California",1,9.0
Groundwater,San Mateo,1,18.0
Groundwater,San Mateo County,18,288.0
Groundwater,"San Mateo County, California",1,43.0
Groundwater,San Pedro,1,25.0
Groundwater,Santa Ana (Based on similar data entries in the same range),1,30.0
Groundwater,"Santa Ana, California",1,20.0
Groundwater,"Santa Ana, Los Angeles, Orange",1,59.0
