doc_id,page_number,table_number,water_type_final,county_spatial,actual_county,inferred_county,llm_ca_counties,consistency
15,39,2,Stream Discharge,Kern,Kern County,,kern,match
15,41,1,Stream Discharge,Kern,Kern County,,kern,match
15,41,2,Stream Discharge,Kern,Kern County,,kern,match
15,41,3,Stream Discharge,Kern,Kern County,,kern,match
15,41,4,Stream Discharge,Kern,Kern County,,kern,match
15,41,5,Stream Discharge,Kern,Kern County,,kern,match
15,41,6,Stream Discharge,Kern,Kern County,,kern,match
15,42,1,Stream Discharge,Tulare,El Dorado County,,el dorado,mismatch
15,42,2,Stream Discharge,Tulare,El Dorado County,,el dorado,mismatch
15,42,3,Not Water Related,Tulare,El Dorado County,,el dorado,mismatch
15,42,4,Stream Discharge,Tulare,El Dorado County,,el dorado,mismatch
15,43,1,Stream Discharge,El Dorado,El Dorado County,,el dorado,match
15,43,2,Stream Discharge,El Dorado,El Dorado County,,el dorado,match
15,43,3,Stream Discharge,El Dorado,El Dorado County,,el dorado,match
15,44,1,Stream Discharge,Tulare,Tulare County,,tulare,match
15,44,2,Stream Discharge,Tulare,Tulare County,,tulare,match
15,45,1,Stream Discharge,Mono,Inferred_Fresno County,Fresno County,fresno,mismatch
15,45,2,Stream Discharge,Mono,Inferred_Fresno County,Fresno County,fresno,mismatch
15,45,3,Stream Discharge,Mono,Inferred_Fresno County,Fresno County,fresno,mismatch
15,45,4,Stream Discharge,Mono,Inferred_Fresno County,Fresno County,fresno,mismatch
15,45,5,Stream Discharge,Mono,Inferred_Fresno County,Fresno County,fresno,mismatch
15,46,1,Stream Discharge,Tulare,Tulare County,,tulare,match
15,46,2,Stream Discharge,Tulare,Tulare County,,tulare,match
15,46,3,Stream Discharge,Tulare,Tulare County,,tulare,match
15,46,4,Stream Discharge,Tulare,Tulare County,,tulare,match
15,47,1,Stream Discharge,Tulare,,"Tulare County, California",tulare,match
15,47,2,Stream Discharge,Tulare,,"Tulare County, California",tulare,match
15,47,3,Stream Discharge,Tulare,,"Tulare County, California",tulare,match
15,47,4,Stream Discharge,Tulare,,"Tulare County, California",tulare,match
15,47,5,Stream Discharge,Tulare,,"Tulare County, California",tulare,match
15,48,1,Stream Discharge,Tulare,Kings County,,kings,mismatch
15,48,2,Stream Discharge,Tulare,Kings County,,kings,mismatch
15,49,1,Stream Discharge,Tulare,Fresno County,Fresno County,fresno,mismatch
15,49,2,Stream Discharge,Tulare,Fresno County,Fresno County,fresno,mismatch
15,50,1,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,50,2,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,52,1,Stream Discharge,Tulare,Fresno,Fresno,fresno,mismatch
15,52,2,Stream Discharge,Tulare,Fresno,Fresno,fresno,mismatch
15,52,3,Stream Discharge,Tulare,Fresno,Fresno,fresno,mismatch
15,54,1,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,54,2,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,55,1,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,55,2,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,56,1,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,56,2,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,56,3,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,57,1,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,58,1,Stream Discharge,Fresno,Fresno County,,fresno,match
15,58,2,Stream Discharge,Fresno,Fresno County,,fresno,match
15,59,1,Stream Discharge,Tulare,Tulare County,,tulare,match
15,59,2,Stream Discharge,Tulare,Tulare County,,tulare,match
15,59,3,Stream Discharge,Tulare,Tulare County,,tulare,match
15,59,4,Stream Discharge,Tulare,Tulare County,,tulare,match
15,60,1,Stream Discharge,Tulare,Tulare County,,tulare,match
15,60,2,Stream Discharge,Tulare,Tulare County,,tulare,match
15,60,3,Stream Discharge,Tulare,Tulare County,,tulare,match
15,61,1,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,61,2,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,61,3,Stream Discharge,Tulare,Tulare County,Tulare County,tulare,match
15,62,1,Stream Discharge,Fresno,Fresno County,Fresno County,fresno,match
15,62,2,Stream Discharge,Fresno,Fresno County,Fresno County,fresno,match
15,63,1,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,63,2,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,63,3,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,64,1,Stream Discharge,Tulare,,Tulare County,tulare,match
15,64,2,Stream Discharge,Tulare,,Tulare County,tulare,match
15,64,3,Stream Discharge,Tulare,,Tulare County,tulare,match
15,65,1,Stream Discharge,,Tulare County,Tulare County,tulare,no_spatial
15,65,2,Stream Discharge,,Tulare County,Tulare County,tulare,no_spatial
15,66,1,Stream Discharge,Tulare,,Tulare County,tulare,match
15,66,2,Stream Discharge,Tulare,,Tulare County,tulare,match
15,68,1,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,68,2,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,69,1,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,69,2,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,69,3,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,70,1,Stream Discharge,Fresno,,Madera County,madera,mismatch
15,70,2,Stream Discharge,Fresno,,Madera County,madera,mismatch
15,70,3,Stream Discharge,Fresno,,Madera County,madera,mismatch
15,72,1,Stream Discharge,,Tulare County,,tulare,no_spatial
15,72,2,Stream Discharge,,Tulare County,,tulare,no_spatial
15,72,3,Stream Discharge,,Tulare County,,tulare,no_spatial
15,73,1,Stream Discharge,Tulare,,Tulare,tulare,match
15,73,2,Stream Discharge,Tulare,,Tulare,tulare,match
15,73,3,Stream Discharge,Tulare,,Tulare,tulare,match
15,73,4,Stream Discharge,Tulare,,Tulare,tulare,match
15,73,5,Stream Discharge,Tulare,,Tulare,tulare,match
15,74,1,Stream Discharge,Fresno,Fresno County,,fresno,match
15,74,2,Stream Discharge,Fresno,Fresno County,,fresno,match
15,74,3,Stream Discharge,Fresno,Fresno County,,fresno,match
15,75,1,Stream Discharge,Fresno,Fresno,Fresno,fresno,match
15,75,2,Stream Discharge,Fresno,Fresno,Fresno,fresno,match
15,76,1,Stream Discharge,Tulare,Tulare County,,tulare,match
15,76,2,Stream Discharge,Tulare,Tulare County,,tulare,match
15,78,1,Stream Discharge,Fresno,Kings County,,kings,mismatch
15,78,2,Stream Discharge,Fresno,Kings County,,kings,mismatch
15,78,3,Stream Discharge,Fresno,Kings County,,kings,mismatch
15,79,1,Stream Discharge,Kings,Tulare County,Tulare County,tulare,mismatch
15,79,2,Stream Discharge,Kings,Tulare County,Tulare County,tulare,mismatch
15,79,3,Stream Discharge,Kings,Tulare County,Tulare County,tulare,mismatch
15,79,4,Stream Discharge,Kings,Tulare County,Tulare County,tulare,mismatch
15,79,5,Stream Discharge,Kings,Tulare County,Tulare County,tulare,mismatch
15,80,1,Stream Discharge,Madera,"Tuolumne County, California",,tuolumne,mismatch
15,80,2,Stream Discharge,Madera,"Tuolumne County, California",,tuolumne,mismatch
15,80,3,Stream Discharge,Madera,"Tuolumne County, California",,tuolumne,mismatch
15,81,1,Stream Discharge,Madera,Madera County,,madera,match
15,81,2,Stream Discharge,Madera,Madera County,,madera,match
15,81,3,Stream Discharge,Madera,Madera County,,madera,match
15,81,4,Stream Discharge,Madera,Madera County,,madera,match
15,81,5,Stream Discharge,Madera,Madera County,,madera,match
15,82,1,Stream Discharge,Madera,"Madera County, California","Madera County, California",madera,match
15,82,2,Stream Discharge,Madera,"Madera County, California","Madera County, California",madera,match
15,82,3,Stream Discharge,Madera,"Madera County, California","Madera County, California",madera,match
15,82,4,Stream Discharge,Madera,"Madera County, California","Madera County, California",madera,match
15,82,5,Stream Discharge,Madera,"Madera County, California","Madera County, California",madera,match
15,83,1,Stream Discharge,Madera,Madera County,,madera,match
15,83,2,Stream Discharge,Madera,Madera County,,madera,match
15,83,3,Stream Discharge,Madera,Madera County,,madera,match
15,83,4,Stream Discharge,Madera,Madera County,,madera,match
15,83,5,Stream Discharge,Madera,Madera County,,madera,match
15,85,1,Reservoir,Fresno,Calaveras County,,calaveras,mismatch
15,85,2,Reservoir,Fresno,Calaveras County,,calaveras,mismatch
15,86,1,Stream Discharge,Kern,,Kern County,kern,match
15,86,2,Stream Discharge,Kern,,Kern County,kern,match
15,87,1,Stream Discharge,Tulare,Tulare County,,tulare,match
15,87,2,Stream Discharge,Tulare,Tulare County,,tulare,match
15,88,1,Stream Discharge,Calaveras,,Calaveras County,calaveras,match
15,88,2,Stream Discharge,Calaveras,,Calaveras County,calaveras,match
15,88,3,Stream Discharge,Calaveras,,Calaveras County,calaveras,match
15,89,1,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,89,2,Stream Discharge,Fresno,Tulare County,,tulare,mismatch
15,90,1,Stream Discharge,Fresno,Calaveras County,,calaveras,mismatch
15,90,2,Stream Discharge,Fresno,Calaveras County,,calaveras,mismatch
15,91,1,Stream Discharge,Madera,Madera County,,madera,match
15,91,2,Stream Discharge,Madera,Madera County,,madera,match
15,91,3,Stream Discharge,Madera,Madera County,,madera,match
15,91,4,Stream Discharge,Madera,Madera County,,madera,match
15,91,5,Stream Discharge,Madera,Madera County,,madera,match
15,92,1,Stream Discharge,Madera,Madera County,,madera,match
15,92,2,Stream Discharge,Madera,Madera County,,madera,match
15,92,3,Stream Discharge,Madera,Madera County,,madera,match
15,92,4,Stream Discharge,Madera,Madera County,,madera,match
15,92,5,Stream Discharge,Madera,Madera County,,madera,match
15,93,1,Stream Discharge,Madera,,Mono County,mono,mismatch
15,93,2,Stream Discharge,Madera,,Mono County,mono,mismatch
15,93,3,Stream Discharge,Madera,,Mono County,mono,mismatch
15,93,4,Stream Discharge,Madera,,Mono County,mono,mismatch
15,93,5,Stream Discharge,Madera,,Mono County,mono,mismatch
15,94,1,Stream Discharge,Fresno,,Madera County,madera,mismatch
15,94,2,Stream Discharge,Fresno,,Madera County,madera,mismatch
15,94,3,Stream Discharge,Fresno,,Madera County,madera,mismatch
15,94,4,Stream Discharge,Fresno,,Madera County,madera,mismatch
15,95,1,Stream Discharge,Merced,,Merced County,merced,match
15,95,2,Stream Discharge,Merced,,Merced County,merced,match
15,95,3,Stream Discharge,Merced,,Merced County,merced,match
15,97,1,Reservoir,Fresno,Madera,,madera,mismatch
15,98,1,Stream Discharge,Fresno,Mono County,,mono,mismatch
15,98,2,Stream Discharge,Fresno,Mono County,,mono,mismatch
15,100,1,Stream Discharge,Fresno,"Calaveras County, California",,calaveras,mismatch
15,100,2,Stream Discharge,Fresno,"Calaveras County, California",,calaveras,mismatch
15,101,1,Stream Discharge,Fresno,Calaveras County,Calaveras County,calaveras,mismatch
15,101,2,Stream Discharge,Fresno,Calaveras County,Calaveras County,calaveras,mismatch
15,101,3,Stream Discharge,Fresno,Calaveras County,Calaveras County,calaveras,mismatch
15,101,4,Stream Discharge,Fresno,Calaveras County,Calaveras County,calaveras,mismatch
15,102,1,Stream Discharge,Fresno,Calaveras County,,calaveras,mismatch
15,102,2,Stream Discharge,Fresno,Calaveras County,,calaveras,mismatch
15,102,3,Stream Discharge,Fresno,Calaveras County,,calaveras,mismatch
15,102,4,Stream Discharge,Fresno,Calaveras County,,calaveras,mismatch
15,103,1,Not Water Related,Calaveras,,Calaveras County,calaveras,match
15,103,2,Stream Discharge,Calaveras,,Calaveras County,calaveras,match
15,104,1,Reservoir,Fresno,Calaveras County,Calaveras County,calaveras,mismatch
15,106,1,Stream Discharge,Fresno,Madera County,,madera,mismatch
15,106,2,Stream Discharge,Fresno,Madera County,,madera,mismatch
15,106,3,Stream Discharge,Fresno,Madera County,,madera,mismatch
15,107,1,Stream Discharge,Madera,Tulare County,,tulare,mismatch
15,107,2,Stream Discharge,Madera,Tulare County,,tulare,mismatch
15,107,3,Not Water Related,Madera,Tulare County,,tulare,mismatch
15,108,1,Reservoir,Madera,Madera County,Madera County,madera,match
15,108,2,Reservoir,Madera,Madera County,Madera County,madera,match
15,109,1,Stream Discharge,Madera,Madera County,,madera,match
15,109,2,Stream Discharge,Madera,Madera County,,madera,match
15,109,3,Stream Discharge,Madera,Madera County,,madera,match
15,109,4,Stream Discharge,Madera,Madera County,,madera,match
15,110,1,Not Water Related,Madera,Madera County,Madera County,madera,match
15,110,2,Stream Discharge,Madera,Madera County,Madera County,madera,match
15,110,3,Stream Discharge,Madera,Madera County,Madera County,madera,match
15,110,4,Not Water Related,Madera,Madera County,Madera County,madera,match
15,111,1,Stream Discharge,Madera,,Calaveras County,calaveras,mismatch
15,111,2,Stream Discharge,Madera,,Calaveras County,calaveras,mismatch
15,111,3,Stream Discharge,Madera,,Calaveras County,calaveras,mismatch
15,111,4,Stream Discharge,Madera,,Calaveras County,calaveras,mismatch
15,111,5,Stream Discharge,Madera,,Calaveras County,calaveras,mismatch
15,112,1,Stream Discharge,,,Calaveras County,calaveras,no_spatial
15,112,2,Stream Discharge,,,Calaveras County,calaveras,no_spatial
15,112,3,Stream Discharge,,,Calaveras County,calaveras,no_spatial
15,113,1,Stream Discharge,,unknown,unknown,,no_spatial
15,113,2,Stream Discharge,,unknown,unknown,,no_spatial
15,113,3,Stream Discharge,,unknown,unknown,,no_spatial
15,113,4,Stream Discharge,,unknown,unknown,,no_spatial
15,115,1,Reservoir,Fresno,Fresno County,,fresno,match
15,115,2,Reservoir,Fresno,Fresno County,,fresno,match
15,116,1,Irrigation,Fresno,Fresno County,,fresno,match
15,116,2,Irrigation,Fresno,Fresno County,,fresno,match
15,116,3,Irrigation,Fresno,Fresno County,,fresno,match
15,116,4,Not Water Related,Fresno,Fresno County,,fresno,match
15,117,1,Stream Discharge,Fresno,Madera County,Madera County,madera,mismatch
15,118,1,Stream Discharge,Fresno,Fresno County,,fresno,match
15,118,2,Stream Discharge,Fresno,Fresno County,,fresno,match
15,118,3,Stream Discharge,Fresno,Fresno County,,fresno,match
15,119,1,Stream Discharge,Fresno,,Fresno County,fresno,match
15,119,2,Stream Discharge,Fresno,,Fresno County,fresno,match
15,120,1,Stream Discharge,Madera,Fresno County,,fresno,mismatch
15,120,2,Stream Discharge,Madera,Fresno County,,fresno,mismatch
15,120,3,Stream Discharge,Madera,Fresno County,,fresno,mismatch
15,120,4,Stream Discharge,Madera,Fresno County,,fresno,mismatch
15,121,1,Stream Discharge,Fresno,Fresno County,,fresno,match
15,121,2,Stream Discharge,Fresno,Fresno County,,fresno,match
15,121,3,Stream Discharge,Fresno,Fresno County,,fresno,match
15,122,1,Stream Discharge,Merced,Fresno,,fresno,mismatch
15,122,2,Stream Discharge,Merced,Fresno,,fresno,mismatch
15,122,3,Stream Discharge,Merced,Fresno,,fresno,mismatch
15,122,4,Stream Discharge,Merced,Fresno,,fresno,mismatch
15,122,5,Stream Discharge,Merced,Fresno,,fresno,mismatch
15,125,1,Stream Discharge,Fresno,Fresno County,Fresno County,fresno,match
15,125,2,Stream Discharge,Fresno,Fresno County,Fresno County,fresno,match
15,126,1,Stream Discharge,Madera,Tulare County,Tulare County,tulare,mismatch
15,126,2,Stream Discharge,Madera,Tulare County,Tulare County,tulare,mismatch
15,126,3,Stream Discharge,Madera,Tulare County,Tulare County,tulare,mismatch
15,127,1,Stream Discharge,Madera,,Fresno County,fresno,mismatch
15,127,2,Stream Discharge,Madera,,Fresno County,fresno,mismatch
15,127,3,Stream Discharge,Madera,,Fresno County,fresno,mismatch
15,127,4,Stream Discharge,Madera,,Fresno County,fresno,mismatch
15,129,1,Stream Discharge,Merced,unknown,Merced County,merced,match
15,129,2,Stream Discharge,Merced,unknown,Merced County,merced,match
15,129,3,Stream Discharge,Merced,unknown,Merced County,merced,match
15,129,4,Stream Discharge,Merced,unknown,Merced County,merced,match
15,130,1,Stream Discharge,Merced,Merced County,,merced,match
15,130,2,Stream Discharge,Merced,Merced County,,merced,match
15,131,1,Stream Discharge,Stanislaus,"Mariposa County, CA",,mariposa,mismatch
15,131,2,Not Water Related,Stanislaus,"Mariposa County, CA",,mariposa,mismatch
15,131,3,Stream Discharge,Stanislaus,"Mariposa County, CA",,mariposa,mismatch
15,131,4,Stream Discharge,Stanislaus,"Mariposa County, CA",,mariposa,mismatch
15,132,1,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,132,2,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,132,3,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,133,1,Stream Discharge,Mariposa,Mariposa,Mariposa,mariposa,match
15,133,2,Stream Discharge,Mariposa,Mariposa,Mariposa,mariposa,match
15,134,1,Stream Discharge,Mariposa,Mariposa County,Mariposa County,mariposa,match
15,135,1,Stream Discharge,Mariposa,Mariposa,Mariposa,mariposa,match
15,135,2,Stream Discharge,Mariposa,Mariposa,Mariposa,mariposa,match
15,136,1,Stream Discharge,,Mariposa County,,mariposa,no_spatial
15,136,2,Stream Discharge,,Mariposa County,,mariposa,no_spatial
15,137,1,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,137,2,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,137,3,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,138,1,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,138,2,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,138,3,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,139,1,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,139,2,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,139,3,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,141,1,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,141,2,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,142,1,Stream Discharge,Mariposa,Merced County,Merced County,merced,mismatch
15,142,2,Stream Discharge,Mariposa,Merced County,Merced County,merced,mismatch
15,143,1,Reservoir,Mariposa,Merced County,,merced,mismatch
15,144,1,Stream Discharge,Mariposa,Tuolumne County,Tuolumne County,tuolumne,mismatch
15,144,2,Stream Discharge,Mariposa,Tuolumne County,Tuolumne County,tuolumne,mismatch
15,145,1,Stream Discharge,Merced,Merced County,,merced,match
15,145,2,Stream Discharge,Merced,Merced County,,merced,match
15,146,1,Stream Discharge,Merced,Mariposa County,,mariposa,mismatch
15,146,2,Stream Discharge,Merced,Mariposa County,,mariposa,mismatch
15,146,3,Stream Discharge,Merced,Mariposa County,,mariposa,mismatch
15,147,1,Stream Discharge,Merced,Merced County,,merced,match
15,147,2,Stream Discharge,Merced,Merced County,,merced,match
15,147,3,Stream Discharge,Merced,Merced County,,merced,match
15,147,4,Stream Discharge,Merced,Merced County,,merced,match
15,148,1,Stream Discharge,Merced,Merced County,,merced,match
15,148,2,Stream Discharge,Merced,Merced County,,merced,match
15,148,3,Stream Discharge,Merced,Merced County,,merced,match
15,149,1,Stream Discharge,Merced,Stanislaus County,,stanislaus,mismatch
15,149,2,Stream Discharge,Merced,Stanislaus County,,stanislaus,mismatch
15,149,3,Stream Discharge,Merced,Stanislaus County,,stanislaus,mismatch
15,150,1,Stream Discharge,Stanislaus,Calaveras County,Calaveras County,calaveras,mismatch
15,150,2,Stream Discharge,Stanislaus,Calaveras County,Calaveras County,calaveras,mismatch
15,151,1,Stream Discharge,Stanislaus,Calaveras County,,calaveras,mismatch
15,151,2,Stream Discharge,Stanislaus,Calaveras County,,calaveras,mismatch
15,152,1,Stream Discharge,Stanislaus,Calaveras,,calaveras,mismatch
15,152,2,Stream Discharge,Stanislaus,Calaveras,,calaveras,mismatch
15,152,3,Stream Discharge,Stanislaus,Calaveras,,calaveras,mismatch
15,153,1,Stream Discharge,Tuolumne,Mariposa,,mariposa,mismatch
15,153,2,Stream Discharge,Tuolumne,Mariposa,,mariposa,mismatch
15,153,3,Stream Discharge,Tuolumne,Mariposa,,mariposa,mismatch
15,153,4,Stream Discharge,Tuolumne,Mariposa,,mariposa,mismatch
15,154,1,Stream Discharge,Mariposa,Alpine County,Alpine County,alpine,mismatch
15,154,2,Stream Discharge,Mariposa,Alpine County,Alpine County,alpine,mismatch
15,154,3,Stream Discharge,Mariposa,Alpine County,Alpine County,alpine,mismatch
15,155,1,Reservoir,Tuolumne,Mariposa County,,mariposa,mismatch
15,155,2,Reservoir,Tuolumne,Mariposa County,,mariposa,mismatch
15,156,1,Stream Discharge,Tuolumne,Mariposa,,mariposa,mismatch
15,156,2,Stream Discharge,Tuolumne,Mariposa,,mariposa,mismatch
15,156,3,Stream Discharge,Tuolumne,Mariposa,,mariposa,mismatch
15,157,1,Stream Discharge,Mariposa,Tuolumne County,Tuolumne County,tuolumne,mismatch
15,157,2,Stream Discharge,Mariposa,Tuolumne County,Tuolumne County,tuolumne,mismatch
15,158,1,Stream Discharge,Tuolumne,Alameda County,,alameda,mismatch
15,158,2,Stream Discharge,Tuolumne,Alameda County,,alameda,mismatch
15,159,1,Stream Discharge,Mariposa,Alameda,Alameda,alameda,mismatch
15,159,2,Stream Discharge,Mariposa,Alameda,Alameda,alameda,mismatch
15,160,1,Reservoir,Tuolumne,Alpine County,,alpine,mismatch
15,161,1,Stream Discharge,Tuolumne,Mariposa County,Mariposa County,mariposa,mismatch
15,161,2,Stream Discharge,Tuolumne,Mariposa County,Mariposa County,mariposa,mismatch
15,162,1,Stream Discharge,Mariposa,Alpine County,Alpine County,alpine,mismatch
15,162,2,Stream Discharge,Mariposa,Alpine County,Alpine County,alpine,mismatch
15,164,1,Stream Discharge,Tuolumne,Tulare County,,tulare,mismatch
15,164,2,Stream Discharge,Tuolumne,Tulare County,,tulare,mismatch
15,164,3,Stream Discharge,Tuolumne,Tulare County,,tulare,mismatch
15,164,4,Stream Discharge,Tuolumne,Tulare County,,tulare,mismatch
15,164,5,Stream Discharge,Tuolumne,Tulare County,,tulare,mismatch
15,165,1,Irrigation,Tuolumne,Mariposa County,,mariposa,mismatch
15,165,2,Irrigation,Tuolumne,Mariposa County,,mariposa,mismatch
15,165,3,Irrigation,Tuolumne,Mariposa County,,mariposa,mismatch
15,168,1,Stream Discharge,Calaveras,Calaveras County,Calaveras County,calaveras,match
15,168,2,Stream Discharge,Calaveras,Calaveras County,Calaveras County,calaveras,match
15,168,3,Stream Discharge,Calaveras,Calaveras County,Calaveras County,calaveras,match
15,169,1,Stream Discharge,Tuolumne,Calaveras County,Calaveras County,calaveras,mismatch
15,169,2,Stream Discharge,Tuolumne,Calaveras County,Calaveras County,calaveras,mismatch
15,169,3,Stream Discharge,Tuolumne,Calaveras County,Calaveras County,calaveras,mismatch
15,170,1,Stream Discharge,Tuolumne,Tuolumne County,Tuolumne County,tuolumne,match
15,170,2,Stream Discharge,Tuolumne,Tuolumne County,Tuolumne County,tuolumne,match
15,171,1,Stream Discharge,Tuolumne,Tuolumne County,Tuolumne County,tuolumne,match
15,171,2,Stream Discharge,Tuolumne,Tuolumne County,Tuolumne County,tuolumne,match
15,172,1,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,172,2,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,172,3,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,172,4,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,173,1,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,173,2,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,173,3,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,175,1,Reservoir,Tuolumne,Tuolumne County,Tuolumne County,tuolumne,match
15,175,2,Reservoir,Tuolumne,Tuolumne County,Tuolumne County,tuolumne,match
15,176,1,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,176,2,Stream Discharge,Tuolumne,Calaveras County,,calaveras,mismatch
15,177,1,Stream Discharge,Tuolumne,"Calaveras County, Tuolumne County","Calaveras County, Tuolumne County","calaveras, tuolumne",match
15,177,2,Stream Discharge,Tuolumne,"Calaveras County, Tuolumne County","Calaveras County, Tuolumne County","calaveras, tuolumne",match
15,178,1,Stream Discharge,Calaveras,Calaveras County,Calaveras County,calaveras,match
15,178,2,Stream Discharge,Calaveras,Calaveras County,Calaveras County,calaveras,match
15,179,1,Irrigation,Stanislaus,Stanislaus County,Stanislaus County,stanislaus,match
15,180,1,Irrigation,Stanislaus,Stanislaus County,Stanislaus County,stanislaus,match
15,181,1,Stream Discharge,Stanislaus,Stanislaus County,,stanislaus,match
15,181,2,Stream Discharge,Stanislaus,Stanislaus County,,stanislaus,match
15,181,3,Stream Discharge,Stanislaus,Stanislaus County,,stanislaus,match
15,182,1,Reservoir,Tuolumne,Calaveras County,Calaveras County,calaveras,mismatch
15,182,2,Reservoir,Tuolumne,Calaveras County,Calaveras County,calaveras,mismatch
15,182,3,Reservoir,Tuolumne,Calaveras County,Calaveras County,calaveras,mismatch
15,183,1,Stream Discharge,Tuolumne,,Tuolumne,tuolumne,match
15,183,2,Stream Discharge,Tuolumne,,Tuolumne,tuolumne,match
