,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,RESOLUTION,UNITS_USED,WATER_TYPE,CATEGORY
23,48176,27,NA,NA,NA,Irrigation sources,NA,California,01/01/1963-31/12/1969,Yearly,k,Groundwater,
24,48176,27,NA,NA,NA,Other sources,NA,California,01/01/1963-31/12/1969,Yearly,k,Groundwater,
25,3067,266,-34.0000,150.0000,T 14 N/S R 24 E/W S NW/SE 1/2,NA,"""Summary of First and Second Tables""",NA,01/01/1955-12/31/2043,yearly,Ac-ft,Precipitation,
26,3067,266,-34.0000,150.0000,T 14 N/S R 24 E/W S NW/SE 1/2,NA,"""Summary of First and Second Tables""",NA,01/01/1955-12/31/2043,yearly,Ac-ft,Precipitation,
27,3067,266,-34.0000,150.0000,T 14 N/S R 24 E/W S NW/SE 1/2,NA,"""Summary of First and Second Tables""",NA,01/01/1955-12/31/2043,yearly,Ac-ft,Precipitation,
33,25076,28,NA,NA,NA,Erskine Creek near Isabella,Isabella,NA,1910-11/2025-26,Monthly,NA,Groundwater,
34,25076,28,NA,NA,NA,Basin Creek near Havilah,Havilah,NA,1910-11/2024-25,Monthly,NA,Groundwater,
35,25076,28,NA,NA,NA,Tejon House Creek at Tejon ranch house,Tejon ranch house,NA,1894-95/2023-24,Monthly,NA,Groundwater,
36,25076,32,-36.5432,118.4567,T 12 N/S R 14 E/W S 1/4 NW,Kaweah River,"McKay Point, near Lemon Cove",Not Available,01/02/1902-31/09/1926,Monthly,Not Available,Stream,
37,25076,32,-36.5432,118.4567,T 12 N/S R 14 E/W S 1/4 NW,Kaweah River,"McKay Point, near Lemon Cove",Not Available,01/02/1902-31/09/1926,Monthly,Not Available,Stream,
38,25076,32,-36.5432,118.4567,T 12 N/S R 14 E/W S 1/4 NW,Kaweah River,"McKay Point, near Lemon Cove",Not Available,01/02/1902-31/09/1926,Monthly,Not Available,Stream,
39,2846,46,NA,NA,"Desert Hot Springs N 1/4, Garnet Hill NE 3/8, Mission Creek S 1/2, Whitewater River SE 1/2",NA,NA,NA,01/01/1970-12/31/2022,yearly,acre-ft,Groundwater,
40,2846,46,NA,NA,"Desert Hot Springs N 1/4, Garnet Hill NE 3/8, Mission Creek S 1/2, Whitewater River SE 1/2",NA,NA,NA,01/01/1970-12/31/2022,yearly,acre-ft,Groundwater,
41,2846,46,NA,NA,"Desert Hot Springs N 1/4, Garnet Hill NE 3/8, Mission Creek S 1/2, Whitewater River SE 1/2",NA,NA,NA,01/01/1970-12/31/2022,yearly,acre-ft,Groundwater,
42,56394,254,NA,NA,NA,NA,NA,NA,01/10/2020-30/09/2021,daily,AC-FT,Groundwater,
43,56394,254,NA,NA,NA,NA,NA,NA,01/10/2020-30/09/2021,daily,AC-FT,Groundwater,
44,56394,254,NA,NA,NA,NA,NA,NA,01/10/2020-30/09/2021,daily,AC-FT,Groundwater,
