id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,data_source,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review,lat_combined,lon_combined,lat_source_col,lon_source_col,coord_source,in_california
25119,26,40.1566,-107.8532,,,"below Meeker, Colo.",[],"White River below Meeker, Colo","Routt County, Colorado","Routt County, Colorado",1961-,Daily or monthly figures (calendar years),,Stream Discharge,"['White River', 'Meeker']",main,25119_26,40.1566,-107.8532,Stream discharge,,1961,1961,[1961],SINGLE_YEAR,,False,40.1566,-107.8532,inferred_latitude,inferred_longitude,inferred,False
25119,26,39.8433,-108.7216,,,"at Rio Blanco, Colo.",[],"Piceance Creek at Rio Blanco, Colo","Rio Blanco County, Colorado","Rio Blanco County, Colorado",1952-57.,Daily or monthly figures (calendar years),,Stream Discharge,"['Piceance Creek', 'Rio Blanco']",main,25119_26,39.8433,-108.7216,Stream discharge,,1952,1957,[1952 1957],EXACT_RANGE,,False,39.8433,-108.7216,inferred_latitude,inferred_longitude,inferred,False
25119,26,40.4281,-109.978,,,"near Ouray, Utah",[],"Green River near Ouray, Utah","Uintah County, Utah","Uintah County, Utah",1947-55;1956-66.,Daily or monthly figures (calendar years),,Stream Discharge,"['Green River', 'Ouray']",main,25119_26,40.4281,-109.978,Stream discharge,,1947,1966,[1947 1955 1956 1966],MULTI_YEARS_OR_RANGES,,False,40.4281,-109.978,inferred_latitude,inferred_longitude,inferred,False
25119,26,39.5188,-110.7576,,,"near Scofield, Utah",[],"Scofield Reservoir near Scofield, Utah","Emery County, Utah","Emery County, Utah",1926-41p;1942,Daily or monthly figures (calendar years),,Reservoir,"['Scofield Reservoir', 'Scofield']",main,25119_26,39.5188,-110.7576,Reservoir,,1926,1942,[1926 1942],EXACT_RANGE,,False,39.5188,-110.7576,inferred_latitude,inferred_longitude,inferred,False
25119,26,39.5299,-110.7478,,,"at Green River, Utah",[],"Green River (at Little Valley) at Green River, Utah","Emery County, Utah","Emery County, Utah",1894-99;1904-,Daily or monthly figures (calendar years),,Stream Discharge,"['Green River', 'Little Valley']",main,25119_26,39.5299,-110.7478,Stream discharge,,1894,1904,[1894 1899 1904],MULTI_YEARS_OR_RANGES,,False,39.5299,-110.7478,inferred_latitude,inferred_longitude,inferred,False
3144,72,35.0667,-110.6667,,,near Winslow,[],"Chevelon Fork below Wildcat Canyon, near Winslow",,Coconino County,"10/01/1963-09/30/1964, 10/01/1964-09/30/1965",daily,cubic feet per second,Stream Discharge,"['DISCHARGE', 'CUBIC FEET PER SECOND']",main,3144_72,35.0667,-110.6667,Stream discharge,,1963,1965,[1963 1964 1965],MULTI_YEARS_OR_RANGES,,False,35.0667,-110.6667,inferred_latitude,inferred_longitude,inferred,False
3048,673,,,42.55,-121.3167,"SE1 sec. 8, T.35 S., R.12 E.","['T.35 S., R.12 E., SE1 sec. 8']",Sycan River near Beatty,"Malheur County, Oregon",,"November, December 1911-April to August 1912, October 1912-June 1913, April 1914-April 1915, June 1915-October 1916, March 1917-September 1925",Varies,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['Discontinued', 'Gage', 'Water-stage recorder', 'Drainage area']",main,3048_673,42.55,-121.3167,Stream discharge,,1911,1925,[1911 1912 1913 1914 1915 1916 1917 1925],MULTI_YEARS_OR_RANGES,,False,42.55,-121.3167,actual_latitude,actual_longitude,actual,False
3048,673,,,42.4333,-121.35,"near center sec. 19, T.36 S., R.12 E.","['T.36 S., R.12 E., near center sec. 19']",Whiskey Creek near Beatty,"Malheur County, Oregon",,"March to September 1917, March 1918-September 1919",Monthly,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['Staff gage', 'Drainage area', 'Max discharge observed']",main,3048_673,42.4333,-121.35,Stream discharge,,1917,1919,[1917 1918 1919],MULTI_YEARS_OR_RANGES,,False,42.4333,-121.35,actual_latitude,actual_longitude,actual,False
2913,179,40.2434,-111.6469,,,"Vivian Park, Utah",[],South Fork Provo River at Vivian Park,,Utah County,01/01/1936-12/31/1950,Monthly,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}",Stream Discharge,"['Discharge', 'cubic feet per second']",main,2913_179,40.2434,-111.6469,Stream discharge,,1936,1950,[1936 1950],EXACT_RANGE,,False,40.2434,-111.6469,inferred_latitude,inferred_longitude,inferred,False
2913,179,40.2434,-111.6469,,,"Vivian Park, Utah",[],South Fork Provo River Runoff,,Utah County,01/10/1912-12/31/1950,Monthly and Yearly,{'Runoff': 'acre-feet'},Runoff,"['Runoff', 'acre-feet']",main,2913_179,40.2434,-111.6469,,Runoff,1912,1950,[1912 1950],EXACT_RANGE,,False,40.2434,-111.6469,inferred_latitude,inferred_longitude,inferred,False
2913,179,40.2434,-111.6469,,,"Vivian Park, Utah",[],South Fork Provo River Yearly Discharge,,Utah County,01/01/1912-12/31/1925,Yearly,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}",Stream Discharge,"['Discharge', 'cubic feet per second', 'Runoff', 'acre-feet']",main,2913_179,40.2434,-111.6469,Stream discharge,,1912,1925,[1912 1925],EXACT_RANGE,,False,40.2434,-111.6469,inferred_latitude,inferred_longitude,inferred,False
56808,386,,,-39.0055556,120.3144444,"Near Meeks Bay, CA, on right bank 0.3 mi (0.5 km) downstream from Loon Lake Dam, Eldorado National Forest","[""T.13 N., R.15 E., NE&NE's sec. 5""]",Gerle Creek Below Loon Lake Dam,Dorado County,,"07/1910-04/1914, 08/1962-Present",Daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Flow': 'acre-feet/yr'}",Stream Discharge,"['Loon Lake Dam', 'Gerle Creek', 'stream discharge', 'water-stage recorder', 'V-notch concrete weir']",main,56808_386,-39.0055556,120.3144444,Stream discharge,,1910,,[1910 1914 1962],OPEN_ENDED_IGNORED,,True,-39.0055556,120.3144444,actual_latitude,actual_longitude,actual,False
3144,309,,,31.344444,-110.851389,"on left bank three-quarters of a mile downstream from international boundary, 5 miles upstream from Yerba Buena Dam site, and 5 miles east of Nogales","['T.24 S. R.15 E., NW2 sec 18']",Santa Cruz River near Nogales,,"Pima County, Arizona",05/01/1907-12/31/1965,Daily for specific months (1907-1912; 1913-1922; 1930-1933; 1935-1965),"{'Discharge': 'cubic feet per second (cfs), acre-feet', 'Gage Height': 'feet'}",Stream Discharge,"['discharge measurements', 'gage-height record', 'water-stage recorder', 'International Boundary and Water Commission']",main,3144_309,31.344444,-110.851389,Stream discharge,,1907,1965,[1907 1912 1965],MULTI_YEARS_OR_RANGES,,False,31.344444,-110.851389,actual_latitude,actual_longitude,actual,False
25074,9,,,36.1061,-112.1129,"Grand Canyon, Arizona",[],Grand Canyon,,"Coconino County, Arizona",10/01/1925-09/30/1928,Daily,Percent by weight,Stream Discharge,"['suspended matter', 'discharge']",main,25074_9,36.1061,-112.1129,Stream discharge,,1925,1928,[1925 1928],EXACT_RANGE,,False,36.1061,-112.1129,actual_latitude,actual_longitude,actual,False
194,116,39.3731,-111.6882,,,"Near Ouray, Utah",[],GREEN RIVER NEAR OURAY,,"Sanpete County, Utah",07/01/1964-09/30/1964,Daily intervals over the months of July to September 1964,"{'pH': '', 'Specific_conductance': 'micro-mhos at 25°C', 'Sodium_adsorption_ratio': '', 'Hardness_CaCO3_as_Non_carbonate': 'mg/L', 'Hardness_CaCO3_as_Calcium_Magnesium': 'mg/L', 'Dissolved_solids_residue_at_180°C_Tons_per_day': 'Tons/day', 'Dissolved_solids_residue_at_180°C_Tons_per_acre-foot': '', 'Dissolved_solids_residue_at_180°C_Parts_per_million': 'mg/L', 'Boron_B': 'mg/L', 'Nitrate_NO2': 'mg/L', 'Fluoride_F': 'mg/L', 'Chloride_Cl': 'mg/L', 'Sulfate_SO4': 'mg/L', 'Carbonate_CO3': 'mg/L', 'Bicarbonate_HCO3': 'mg/L', 'Potassium_K': 'mg/L', 'Sodium_Na': 'mg/L', 'Magnesium_Mg': 'mg/L', 'Calcium_Ca': 'mg/L', 'Iron_Fe': 'mg/L', 'Silica_SiO2': 'mg/L', 'Mean_discharge_cfs': 'cubic feet per second (cfs)'}",Stream Discharge,"['pH', 'specific conductance', 'sodium adsorption ratio', 'hardness', 'dissolved solids', 'boron', 'nitrate', 'fluoride', 'chloride', 'sulfate', 'bicarbonate', 'potassium', 'sodium', 'magnesium', 'calcium', 'iron', 'silica', 'discharge']",main,194_116,39.3731,-111.6882,Stream discharge,,1964,1964,[1964],SINGLE_YEAR,,False,39.3731,-111.6882,inferred_latitude,inferred_longitude,inferred,False
199,165,,,36.7194,-108.2125,"At river mile 99, 100 feet upstream from the mouth of Animas River, at south edge of Farmington, San Juan County, N. Mex.",[],SAN JUAN RIVER ABOVE ANIMAS RIVER,"San Juan County, N. Mex.",,10/11/1965-09/31/1966,Monthly,"{'Temperature': '°F', 'pH': '', 'Specific_Conductance': 'micro-mhos at 25°C', 'Sodium_Absorption_Ratio': '', 'Hardness_as_CaCO3_Non-Carbonate': 'ppm', 'Calcium_Magnesium': 'ppm', 'Chloride': 'ppm', 'Mean_Discharge': 'cfs'}",Stream Discharge,"['San Juan River', 'Animas River', 'Farmington, N. Mex.', 'Chemical analyses', 'Mean discharge']",main,199_165,36.7194,-108.2125,Stream discharge,,1965,1966,[1965 1966],EXACT_RANGE,,False,36.7194,-108.2125,actual_latitude,actual_longitude,actual,False
2987,96,39.6963,-89.7464,,,"Green Valley, Illinois",[],"Mackinaw River near Green Valley, Ill",,Sangamon County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Mackinaw River', 'Green Valley']",main,2987_96,39.6963,-89.7464,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,False,39.6963,-89.7464,inferred_latitude,inferred_longitude,inferred,False
2987,96,40.4764,-88.9783,,,"Lake Bloomington, Illinois",[],"Money Creek above Lake Bloomington, Ill",,McLean County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Money Creek', 'Lake Bloomington']",main,2987_96,40.4764,-88.9783,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,False,40.4764,-88.9783,inferred_latitude,inferred_longitude,inferred,False
2987,96,39.7388,-90.8084,,,"Seville, Illinois",[],"Spoon River at Seville, III",,Pike County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Spoon River', 'Seville']",main,2987_96,39.7388,-90.8084,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,False,39.7388,-90.8084,inferred_latitude,inferred_longitude,inferred,False
2987,96,40.3786,-88.5092,,,"Monticello, Illinois",[],"Sangamon River at Monticello, Ill",,Piatt County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Sangamon River', 'Monticello']",main,2987_96,40.3786,-88.5092,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,False,40.3786,-88.5092,inferred_latitude,inferred_longitude,inferred,False
2987,96,39.2992,-90.6956,,,"Near Kenny, Illinois",[],"Salt Creek near Kenny, III",,Calhoun County,1908-1936,Annual,Cubic feet per second (cfs),Stream Discharge,"['Salt Creek', 'Kenny']",main,2987_96,39.2992,-90.6956,Stream discharge,,1908,1936,[1908 1936],EXACT_RANGE,,False,39.2992,-90.6956,inferred_latitude,inferred_longitude,inferred,False
3146,259,32.9466,-110.8504,,,"3.5 miles southeast of Winkelman, Pinal County, and 4 miles upstream from mouth",[],GILA RIVER BASIN,"Pinal County, Arizona",,10/01/1964-09/30/1965,Daily,"{'Specific_Conductance': 'micromhos at 25°C', 'Water_Temperatures': '°F', 'Sediment_Concentrations': 'ppm', 'Sediment_Loads': 'tons'}",Stream Discharge,"['Specific conductance', 'Sediment concentrations', 'Sediment loads']",main,3146_259,32.9466,-110.8504,Stream discharge,,1964,1965,[1964 1965],EXACT_RANGE,,False,32.9466,-110.8504,inferred_latitude,inferred_longitude,inferred,False
3146,259,32.9466,-110.8504,,,"Near Winkelman, Pinal County",[],SAN PEDRO RIVER NEAR WINKELMAN,"Pinal County, Arizona",,10/01/1964-09/30/1965,Daily,{'Specific_Conductance': 'micromhos at 25°C'},Stream Discharge,['Specific conductance'],main,3146_259,32.9466,-110.8504,Stream discharge,,1964,1965,[1964 1965],EXACT_RANGE,,False,32.9466,-110.8504,inferred_latitude,inferred_longitude,inferred,False
1592,355,42.7686,-121.7519,,,"Staff gage in sec. 22, T. 33 S., R. 71/2 E., at highway bridge a quarter of a mile east of Fort Klamath.","['T. 33 S., R. 7 E., Sec. 22']","Wood River at Fort Klamath, Oreg.",Klamath,,10/01/1932-09/30/1933,Daily,second-feet,Stream Discharge,"['maximum', 'minimum', 'average', 'discharge']",main,1592_355,42.7686,-121.7519,Stream discharge,,1932,1933,[1932 1933],EXACT_RANGE,,False,42.7686,-121.7519,inferred_latitude,inferred_longitude,inferred,False
2257,15,,,32.824849,-109.4035,Sand and Gravel Area,['[TRS not available]'],Lee Johns Well,,Unknown County in California,05/25/1942-07/01/1957,Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Sand and gravel']",main,2257_15,32.824849,-109.4035,Irrigation,,1942,1957,[1942 1957],EXACT_RANGE,,False,32.824849,-109.4035,actual_latitude,actual_longitude,actual,False
2257,15,,,32.4413,-109.1355,Alluvial Fill Area,['[TRS not available]'],J. D. Williams Well,,Unknown County in California,"1957-1962, 1964-65",Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Alluvial fill']",main,2257_15,32.4413,-109.1355,Irrigation,,1957,1965,[1957 1962 1964 1965],MULTI_YEARS_OR_RANGES,,False,32.4413,-109.1355,actual_latitude,actual_longitude,actual,False
2257,15,,,32.4509,-109.4425,Alluvial Fill Area,['[TRS not available]'],Andrew Angle Well (Unused Artesian),,Unknown County in California,1946-1963,Variable (as per recorded dates),Feet,Artesian,"['Drilled', 'Unused artesian well', 'Alluvial fill']",main,2257_15,32.4509,-109.4425,,Artesian,1946,1963,[1946 1963],EXACT_RANGE,,False,32.4509,-109.4425,actual_latitude,actual_longitude,actual,False
2257,15,,,32.5001,-109.4414,Alluvial Fill Area,['[TRS not available]'],Andrew Angle Well (Irrigation Water-table),,Unknown County in California,1950-1965,Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Alluvial fill']",main,2257_15,32.5001,-109.4414,Irrigation,,1950,1965,[1950 1965],EXACT_RANGE,,False,32.5001,-109.4414,actual_latitude,actual_longitude,actual,False
2257,15,,,32.4115,-109.4148,Alluvial Fill Area,['[TRS not available]'],R. G. Layton Well,,Unknown County in California,1950-1965,Variable (as per recorded dates),Feet,Artesian,"['Drilled', 'Irrigation artesian well', 'Alluvial fill']",main,2257_15,32.4115,-109.4148,,Artesian,1950,1965,[1950 1965],EXACT_RANGE,,False,32.4115,-109.4148,actual_latitude,actual_longitude,actual,False
2257,15,,,32.313,-109.5748,Alluvial Fill Area,['[TRS not available]'],76 Ranch Well,,Unknown County in California,"1946, 1949-1957, 1959-1965",Variable (as per recorded dates),Feet,Stock Water-table,"['Drilled', 'Stock water-table well', 'Alluvial fill']",main,2257_15,32.313,-109.5748,,Stock Water-table,1946,1965,[1946 1949 1957 1959 1965],MULTI_YEARS_OR_RANGES,,False,32.313,-109.5748,actual_latitude,actual_longitude,actual,False
2257,15,,,32.5114,-109.1058,Sand and Gravel Area,['[TRS not available]'],J. C. Meritt Well,,"Greenlee County, Arizona (Error in document)",1939-1965,Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Sand and gravel']",main,2257_15,32.5114,-109.1058,Irrigation,,1939,1965,[1939 1965],EXACT_RANGE,,False,32.5114,-109.1058,actual_latitude,actual_longitude,actual,False
2257,15,,,31.4119,-109.0528,Sand and Gravel Area,['[TRS not available]'],Delbert Meyers Well,,"Greenlee County, Arizona (Error in document)",1939-1965,Variable (as per recorded dates),Feet,Domestic,"['Drilled', 'Domestic water-table well', 'Sand and gravel']",main,2257_15,31.4119,-109.0528,,Domestic,1939,1965,[1939 1965],EXACT_RANGE,,False,31.4119,-109.0528,actual_latitude,actual_longitude,actual,False
2257,15,,,33.2749,-112.152,Sand and Gravel Area,['[TRS not available]'],Isabell-Hartner Ranches Well,,"Maricopa County, Arizona (Error in document)","1953-1960, 1962-1964",Variable (as per recorded dates),Feet,Irrigation,"['Drilled', 'Irrigation water-table well', 'Sand and gravel']",main,2257_15,33.2749,-112.152,Irrigation,,1953,1964,[1953 1960 1962 1964],MULTI_YEARS_OR_RANGES,,False,33.2749,-112.152,actual_latitude,actual_longitude,actual,False
3146,212,,,36.055,-111.793,"Near Grand Canyon, Arizona",[],Colorado River near Grand Canyon,"Coconino County, Arizona",,10/01/1964-03/31/1965,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Suspended Sediment Concentration': 'parts per million (ppm)', 'Suspended Sediment Load': 'tons per day'}",Stream Discharge,"['Discharge', 'Suspended sediment']",main,3146_212,36.055,-111.793,Stream discharge,,1964,1965,[1964 1965],EXACT_RANGE,,False,36.055,-111.793,actual_latitude,actual_longitude,actual,False
1276,127,,,40.95,-109.9333,"Near Linwood, Utah","['NWtSW1 sec. 31, T. 3 N., R. 21 E.']",Green River at Flaming Gorge,,Duchesne County,10/1923-09/1938,Monthly,"{'Discharge': 'second-feet', 'Runoff_second-foot-days': 'second-foot-days', 'Runoff_aere-feet': 'square miles'}",Stream Discharge,"['Discharge', 'Runoff', 'Mean discharge', 'Water-stage recorder']",main,1276_127,40.95,-109.9333,Stream discharge,,1923,1938,[1923 1938],EXACT_RANGE,,False,40.95,-109.9333,actual_latitude,actual_longitude,actual,False
