id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording,temporal_resolution,units_of_measurement,water_type,keyterms,id_page_number
10166,13,,,,,"Mono County, California",[],Grovers Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Mono Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Blayney Meadows Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Keough Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Reds Meadow Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Benton Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],"Unnamed hot springs (Paoha Island, Unnamed hot spring (s. Shore Mono Lake)",Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Brockway Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Fales Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Travertine Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],The Hot Springs,Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,,[],Buckeye Hot Spring,,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,13,,,,,"Mono County, California",[],Unnamed hot springs (N. Shore Mono Lake),Mono County,,,,mg/L,Springs,"['thermal waters', 'trace constituent concentrations']",10166_13
10166,14,37.65,-119.13,,,"Section 16, Township IN., Range 27E.","['16, T. IN., R. 27E.']",Southeast shore of Mono Lake,,Mono County,,,milligrams per liter,Groundwater,"['Mono Lake', 'Ca', 'Rb']",10166_14
10166,14,37.65,-119.13,,,"Section 30, Township 16N., Range 18E.","['30, T. 16N., R. 18E.']",Stateline Point,,Madera County,,,milligrams per liter,Groundwater,"['Stateline Point', 'Ca', 'Rb']",10166_14
10166,14,36.5,-118.75,,,"Section 14, Township 8S., Range 28E.","['14, T. 8S., R. 28E.']",Creek near Blayney Meadows Hot Springs,,Tulare County,,,milligrams per liter,Groundwater,"['Blayney Meadows Hot Springs', 'Ca', 'Rb']",10166_14
10166,14,37.65,-119.13,37.65,-119.13,,[],Unnamed creek 1,,Madera County,,,milligrams per liter,Stream Discharge,"['Unnamed creek', 'Ca', 'Rb']",10166_14
10166,14,37.65,-119.13,37.65,-119.13,,[],Buck Creek,,Madera County,,,milligrams per liter,Stream Discharge,"['Buck Creek', 'Ca', 'Rb']",10166_14
10166,14,37.65,-119.13,37.65,-119.13,,[],Unnamed creek 2,,Madera County,,,milligrams per liter,Stream Discharge,"['Unnamed creek', 'Ca', 'Rb']",10166_14
10166,14,37.6167,-119.0667,37.6167,-119.0667,37°37'N. by 119°4'W.,[],Creek east of Reds Meadow Hot Springs,,Madera County,,,milligrams per liter,Groundwater,"['Reds Meadow Hot Springs', 'Ca', 'Rb']",10166_14
10166,14,37.3333,-119.0167,37.3333,-119.0167,37°20'N. by 119°1'W.,[],Creek near Mono Hot Springs,,Mono County,,,milligrams per liter,Groundwater,"['Mono Hot Springs', 'Ca', 'Rb']",10166_14
10166,14,37.65,-119.13,,,,[],Cold spring,,Mono County,,,milligrams per liter,Groundwater,"['Cold spring', 'Ca', 'Rb']",10166_14
10166,14,36.75,-118.35,,,"Section 24, Township 10N., Range 19E.","['24, T. 10N., R. 19E.']",Creek near Grover Hot Springs,,Inyo County,,,milligrams per liter,Groundwater,"['Grover Hot Springs', 'Ca', 'Rb']",10166_14
10166,14,39.1667,-120.0167,39.1667,-120.0167,,[],Lake Tahoe,,"El Dorado County, Placer County, Douglas County, Washoe County",,,milligrams per liter,Reservoir,"['Lake Tahoe', 'Ca', 'Rb']",10166_14
10166,14,37.65,-119.13,37.65,-119.13,,[],Mono Lake,,Mono County,,,milligrams per liter,Reservoir,"['Mono Lake', 'Ca', 'Rb']",10166_14
10166,14,37.65,-119.13,37.65,-119.13,,[],Senger Creek,,Madera County,,,milligrams per liter,Stream Discharge,"['Senger Creek', 'Ca', 'Rb']",10166_14
10166,15,37.6155,-118.8593,,,Mono Lake,,"Paoha Island, Blayney Meadows Hot Springs, Grovers Hot Springs, Mono Hot Springs, Keough Hot Springs, Reds Meadow Hot Springs, Benton Hot Springs, The Hot Springs Travertine Hot Springs, Buckeye Hot Spring, Fales Hot Springs, Brockway Hot Springs",Mono County,,,,"['mg/L', 'pH']",Springs,"['Thermal waters', 'Mole ratios', 'Dissolved solids']",10166_15
10166,15,37.6054,-118.8546,,,N. Shore Mono Lake,,Unnamed hot springs (N. Shore Mono Lake),Mono County,,,,"['mg/L', 'pH']",Springs,"['Thermal waters', 'Mole ratios', 'Dissolved solids']",10166_15
10166,15,37.6155,-118.8593,,,S. Shore Mono Lake,,Unnamed hot spring (S. Shore Mono Lake),Mono County,,,,"['mg/L', 'pH']",Springs,"['Thermal waters', 'Mole ratios', 'Dissolved solids']",10166_15
10166,17,,,,,,[],Fales Hot Springs,Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Buckeye Hot Spring,Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Grovers Hot Springs,Alpine County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Mono Hot Springs 1/A,Fresno County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Travertine Hot Springs,Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],The Hot Springs,Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Benton Hot Springs,Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Blayney Meadows Hot Springs,Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],"Unnamed hot spring (S. Shore, Mono Lake)",Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Brockway Hot Springs,Placer County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],Mono Hot Springs 1/B,Fresno County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,17,,,,,,[],"Unnamed hot springs (Paoha Island, Mono Lake)",Mono County,,,,Percent by volume,Springs,"['thermal springs', 'gas composition']",10166_17
10166,18,38.5,-119.6,,,"Alpine County, CA",[],Grovers Hot Springs,Alpine County,,,,kcal,Springs,"['Hot Springs', 'Grovers']",10166_18
10166,18,36.7,-118.3,,,"Inyo County, CA",[],Keough Hot Springa,Inyo County,,,,kcal,Springs,"['Hot Spring', 'Keough']",10166_18
10166,18,36.7,-119.3,,,"Fresno County, CA",[],Blayney Meadows Hot Springs,Fresno County,,,,kcal,Springs,"['Hot Springs', 'Blayney Meadows']",10166_18
10166,18,36.7,-119.3,,,"Fresno County, CA",[],Mono Hot Springs,Fresno County,,,,kcal,Springs,"['Hot Springs', 'Mono']",10166_18
10166,18,39.0,-120.8,,,"Placer County, CA",[],Brockway Hot Springs,Placer County,,,,kcal,Springs,"['Hot Springs', 'Brockway']",10166_18
10166,18,37.4,-119.3,,,"Madera County, CA",[],Reds Meadow Hot Springs,Madera County,,,,kcal,Springs,"['Hot Springs', 'Reds Meadow']",10166_18
10166,18,38.0,-118.7,,,"Mono County, CA",[],Benton Hot Springs,Mono County,,,,kcal,Springs,"['Hot Springs', 'Benton']",10166_18
10166,18,39.0,-120.8,,,"Placer County, CA",[],Fales Hot Springs,Placer County,,,,kcal,Springs,"['Hot Springs', 'Fales']",10166_18
10166,18,38.0,-118.7,,,"Mono County, CA",[],Travertine Hot Springs,Mono County,,,,kcal,Springs,"['Hot Springs', 'Travertine']",10166_18
10166,18,38.0,-118.7,,,"Mono County, CA",[],Buckeye Hot Spring,Mono County,,,,kcal,Springs,"['Hot Spring', 'Buckeye']",10166_18
10166,18,37.9,-119.0,,,"Mono County, CA",[],"Unnamed hot spring (S. Shore, Mono Lake)",Mono County,,,,kcal,Springs,"['Hot Spring', 'Unnamed', 'South Shore', 'Mono Lake']",10166_18
10166,18,37.9,-119.0,,,"Mono County, CA",[],"Unnamed hot springs (N. Shore, Mono Lake)",Mono County,,,,kcal,Springs,"['Hot Springs', 'Unnamed', 'North Shore', 'Mono Lake']",10166_18
10166,18,38.0,-118.7,,,"Mono County, CA",[],The Hot Springs,Mono County,,,,kcal,Springs,"['Hot Springs', 'The']",10166_18
10166,18,37.9,-119.0,,,"Mono County, CA",[],"Unnamed hot springs (Paoha Island, Mono Lake)",Mono County,,,,kcal,Springs,"['Hot Springs', 'Unnamed', 'Paoha Island', 'Mono Lake']",10166_18
10166,20,38.7497,-120.8376,,,Placer County,[],Brockway Hot Springs,Placer County,,,,Parts per mil,Springs,['Brockway Hot Springs'],10166_20
10166,20,37.6467,-118.8834,,,Mono County,[],Fales Hot Springs,Mono County,,,,Parts per mil,Springs,['Fales Hot Springs'],10166_20
10166,20,37.6457,-119.0115,,,"North Shore, Mono Lake",[],"Unnamed hot springs (N. Shore, Mono Lake)",Mono County,,,,Parts per mil,Springs,"['Mono Lake', 'North Shore']",10166_20
10166,20,37.6457,-119.0115,,,"South Shore, Mono Lake",[],"Unnamed hot spring (S. Shore, Mono Lake)",Mono County,,,,Parts per mil,Springs,"['Mono Lake', 'South Shore']",10166_20
10166,20,37.6457,-119.0115,,,Mono Lake,[],"Unnamed hot springs (Paoha Island, Mono Lake)",Mono County,,,,Parts per mil,Springs,['Mono Lake'],10166_20
10166,20,37.6467,-118.8834,,,Mono County,[],Buckeye Hot Springs,Mono County,,,,Parts per mil,Springs,['Buckeye Hot Springs'],10166_20
10166,20,37.6467,-118.8834,,,Mono County,[],The Hot Springs,Mono County,,,,Parts per mil,Springs,['The Hot Springs'],10166_20
10166,20,37.6467,-118.8834,,,Mono County,[],Travertine Hot Springs,Mono County,,,,Parts per mil,Springs,['Travertine Hot Springs'],10166_20
10166,20,37.6467,-118.8834,,,Mono County,[],Benton Hot Springs,Mono County,,,,Parts per mil,Springs,['Benton Hot Springs'],10166_20
10166,20,38.7412,-119.8329,,,Alpine County,[],Grovers Hot Springs,Alpine County,,,,Parts per mil,Springs,['Hot Springs'],10166_20
10166,20,36.7339,-118.9634,,,Fresno County,[],Mono Hot Springs,Fresno County,,,,Parts per mil,Springs,['Mono Hot Springs'],10166_20
10166,20,36.7339,-118.9634,,,Fresno County,[],Blayney Meadows Hot Springs,Fresno County,,,,Parts per mil,Springs,['Blayney Meadows Hot Springs'],10166_20
10166,20,36.7678,-117.8531,,,Inyo County,[],Keough Hot Springs,Inyo County,,,,Parts per mil,Springs,['Keough Hot Springs'],10166_20
10166,20,37.5089,-119.5101,,,Madera County,[],Reds Meadow Hot Springs,Madera County,,,,Parts per mil,Springs,['Reds Meadow Hot Springs'],10166_20
10166,22,,,,,"Stateline Point, NE4sec. 30, T. 16N., R. 18E.","['NE4sec. 30, T. 16N., R. 18E.']",Lake Tahoe,,El Dorado County,,,Parts per mil,Reservoir,['Lake Tahoe'],10166_22
10166,22,,,37.3333,-119.0167,"Creek near Mono Hot Springs, 37°20'N. by 119°1'W.",[],Unnamed creek,,Mono County,,,Parts per mil,Stream Discharge,['Mono Hot Springs'],10166_22
10166,22,,,,,Southeast shore of Mono Lake,"['E2sec. 16, T. 1N., R. 27E.']",Cold spring,,Mono County,,,Parts per mil,Springs,"['Cold spring', 'Mono Lake']",10166_22
10166,22,,,37.6167,-119.0667,"Creek east of Reds Meadow Hot Springs, 37°37'N. by 119°4'W.",[],Unnamed creek,,"Mammoth Lakes, Mono County",,,Parts per mil,Stream Discharge,['Reds Meadow Hot Springs'],10166_22
10166,22,,,,,"Creek near Grover Hot Springs, NW4sec. 24, T. 10N., R. 19E.","['NW4sec. 24, T. 10N., R. 19E.']",Buck Creek,,Tulare County,,,Parts per mil,Stream Discharge,"['Buck Creek', 'Grover Hot Springs']",10166_22
10166,22,,,,,"SE1sec. 17, T. 1N., R. 27E.","['SE1sec. 17, T. 1N., R. 27E.']",Mono Lake,,Mono County,,,Parts per mil,Reservoir,['Mono Lake'],10166_22
10166,24,37.7452,-118.8828,,,,[],Grovers Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Mono Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Blayney Meadows Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Keough Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],"Unnamed hot spring (N. Shore, Mono Lake)",Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Benton Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],The Hot Springs Travertine,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Buckeye Hot Spring,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],"Unnamed hot springs (Paoha Island, Mono Lake)",Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],"Unnamed hot spring (s. Shore, Mono Lake)",Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Fales Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Brockway Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,24,37.7452,-118.8828,,,,[],Reds Meadow Hot Springs,Mono County,,,,°C,Springs,"['thermal spring waters', 'spring']",10166_24
10166,8,,,37.2333,-118.8667,"Unsurveyed, 37°14'N by 118°52'W","['NEksec. 4, T. 4N., R. 24E.']",Buckeye Hot Spring,Mono County,,,,Lpm,Springs,"['flow rate', 'gassy springs']",10166_8
10166,8,,,,,"NWksec. 32, T. 2N., R. 27E.","['NWksec. 32, T. 2N., R. 27E.']","Unnamed hot springs (Paoha Island, Mono Lake)",Mono County,,,,Lpm,Springs,"['springs issue', 'gas']",10166_8
10166,8,,,37.3333,-119.0167,"Unsurveyed, 37°20'N by 119°1'W","['NWksec. 24, T. 10N., R. 19E.']",Grovers Hot Springs,Alpine County,,,,Lpm,Springs,"['aggregate flow', 'gassy springs']",10166_8
10166,8,,,37.6167,-119.0667,"Unsurveyed, 37°37'N by 119°4'W","['SWksec. 2, T. 2S., R. 31E.']",Blayney Meadows Hot Springs,Inyo County,,,,Lpm,Springs,"['flow rate', 'no gas']",10166_8
10166,8,,,37.2333,-118.8667,"Unsurveyed, 37°14'N by 118°52'W","['SWksec. 17, T. 8S., R. 33E.']",Mono Hot Springs,Fresno County,,,,Lpm,Springs,"['aggregate flow', 'no gas']",10166_8
10166,8,,,,,"Eissec. 18, T. IN., R. 27E.","['Eissec. 18, T. IN., R. 27E.']","Unnamed hot spring (s. Shore, Mono Lake)",Mono County,,,,Lpm,Springs,"['gassy spring', 'flow rate']",10166_8
10166,8,,,37.2333,-118.8667,"Unsurveyed, 37°14'N by 118°52'W","['SWksec. 34, T. 5N., R. 25E.']",Reds Meadow Hot Springs,Mono County,,,,Lpm,Springs,"['flow rate', 'gassy springs']",10166_8
10166,8,,,37.3333,-119.0167,"Unsurveyed, 37°20'N by 119°1'W","['NEksec. 4, T. 4N., R. 24E.']",Benton Hot Springs,Mono County,,,,Lpm,Springs,"['flow rate', 'aggregate flow']",10166_8
10166,8,,,37.2333,-118.8667,"Unsurveyed, 37°14'N by 118°52'W","['NEksec. 4, T. 4N., R. 24E.']",The Hot Springs,Mono County,,,,Lpm,Springs,"['flow rate', 'no gas']",10166_8
10166,8,,,37.2333,-118.8667,"Unsurveyed, 37°14'N by 118°52'W","['NEksec. 4, T. 4N., R. 24E.']",Travertine Hot Springs,Mono County,,,,Lpm,Springs,"['flow rate', 'gassy springs']",10166_8
10166,8,,,37.3333,-119.0167,"Unsurveyed, 37°20'N by 119°1'W","['NEksec. 9, T. SN., R. 25E.']",Keough Hot Springs,Madera County,,,,Lpm,Springs,"['flow rate', 'gassy spring']",10166_8
10192,19,36.7042,-117.7042,36.7042,-117.7042,Saline Valley,['15S/39E'],Saline Valley SVJ,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,19,36.81,-117.7672,36.81,-117.7672,Saline Valley,['13S/39E'],Saline Valley SVC,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,19,37.7867,-117.7975,37.7867,-117.7975,Saline Valley,['13S/39E'],Saline Valley SVE,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,19,36.77,-117.8067,36.77,-117.8067,Saline Valley,['13S/38E'],Saline Valley SVG,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,19,36.7567,-117.815,36.7567,-117.815,Saline Valley,['14S/38E'],Saline Valley SVH,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,19,36.74,-117.8258,36.74,-117.8258,Saline Valley,['14S/38E'],Saline Valley SVI,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,19,36.7408,-117.8286,36.7408,-117.8286,Saline Valley,['14S/38E'],Saline Valley SVK,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,19,36.7964,-117.7781,36.7964,-117.7781,Saline Valley,['13S/39E'],Saline Valley SVD,,Inyo County,,,"{'Temperature Gradient (K km 1)': '°K km 1', 'Heat Flux (mW m 2 hfu)': 'mW m 2 hfu'}",Groundwater,"['Heat-flow calculations', 'Elev m', 'Depth range m', 'K', 'r', 'q']",10192_19
10192,4,,,,,,[],Heat Flow Data,,,,,,Not Water Related,['heat flow'],10192_4
10192,4,,,,,,[],Geothermal Gradient Data,,,,,,Not Water Related,['geothermal gradient data'],10192_4
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVD,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVC,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,"['Temperature-depth profiles', 'Temperatures and gradients']",10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SO5,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVJ,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVK,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVI,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVE,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVG,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SVH,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole S07,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10192,5,36.4667,-117.8333,,,Saline Valley,[],Borehole SO6,,Inyo County,Unknown,Unknown,"['Temperature', 'Gradient']",Groundwater,['Temperatures and gradients'],10192_5
10337,1,,,36.7,-117.0,"Wildrose Canyon, California",[],Wildrose Canyon Snow Precipitation,Inyo County,,Not specified,Annual,{'Precipitation': 'inches'},Precipitation,"['subalpine climate', 'annual precipitation']",10337_1
10337,1,,,36.4556,-116.8697,"Death Valley, California",[],Furnace Creek Ranch Precipitation,Inyo County,,01/01/1900-12/31/1965,Monthly,"{'Temperature': 'Fahrenheit (°F)', 'Precipitation': 'inches'}",Precipitation,"['average annual precipitation', 'daily high temperature']",10337_1
10337,40,36.5424,-116.8681,,,Death Valley National Monument and vicinity,[],Shale and dolomite,,"Monterey County, California",,,"{'Temperature': 'degrees Celsius', 'Specific_Conductance': 'micromhos per centimeter at 25°C'}",Groundwater,"['Shale and dolomite', 'Specific conductance', 'Hardness as calcium carbonate']",10337_40
10337,40,36.5424,-116.8681,,,Death Valley National Monument and vicinity,[],Sandstone and conglomerate,,"Monterey County, California",,,"{'Temperature': 'degrees Celsius', 'Specific_Conductance': 'micromhos per centimeter at 25°C'}",Groundwater,"['Sandstone and conglomerate', 'Specific conductance', 'Hardness as calcium carbonate']",10337_40
10337,40,36.5424,-116.8681,,,Death Valley National Monument and vicinity,[],Alluvial deposits,,"Monterey County, California",,,"{'Temperature': 'degrees Celsius', 'Specific_Conductance': 'micromhos per centimeter at 25°C'}",Groundwater,"['Alluvial deposits', 'Specific conductance', 'Hardness as calcium carbonate']",10337_40
10337,40,36.5424,-116.8681,,,Death Valley National Monument and vicinity,[],Ided and faulted Precambrian sedimentary rocks,,"Monterey County, California",,,"{'Temperature': 'degrees Celsius', 'Specific_Conductance': 'micromhos per centimeter at 25°C'}",Groundwater,"['Precambrian sedimentary rocks', 'Specific conductance', 'Hardness as calcium carbonate']",10337_40
10337,40,36.5424,-116.8681,,,Death Valley National Monument and vicinity,[],Volcanic rock,,"Monterey County, California",,,"{'Temperature': 'degrees Celsius', 'Specific_Conductance': 'micromhos per centimeter at 25°C'}",Groundwater,"['Volcanic rock', 'Specific conductance', 'Hardness as calcium carbonate']",10337_40
10337,41,36.47,-116.8485,,,"Cottonwood Fan, Death Valley, California",['14S/44E-32M'],"Flash flood, Cottonwood Fan (Discharge: 2 ft3/s)",Inyo County,,06/01/1972,Unknown,cubic feet per second (ft3/s),Stream Discharge,"['Flash flood', 'Cottonwood Fan']",10337_41
10337,41,36.4753,-116.8377,,,"Cottonwood Canyon, Death Valley, California",['165N/43E-20FS1'],Spring in Cottonwood Canyon,Inyo County,,04/28/1968,Unknown,mg/L or ppm (assumed based on table context),Springs,"['Spring', 'Cottonwood Canyon']",10337_41
