,ID,PAGE_NUMBER,Latitude,Longitude,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,,Total points (out of 9) ,Percentage
25,53419,29,38.490556,-122.494167,"TN/GW -2D,M 38°29'26""N,122°29'42""","Springs Springs Inc. Camps, Sulphur White California-Nevada White Original Sulphur Methodist",NAPA,5-11-65 to 5-11-65,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,0.5,1,1,1,,8.5,94.44444444
26,3067,268,37.509722,-119.197222,"NEt sec. 11, T. 5 S., R. 25 E.",San Joaquin River at Miller Crossing,Unknown,"{'Start_Date': 'October 1921', 'End_Date': 'September 1956'}",Daily,"{'Latitude': 'decimal degrees', 'Longitude': 'decimal degrees', 'Discharge': 'cubic feet per second (cfs)', 'Drainage_Area': 'square miles (sq mi)'}",Stream Discharge,,,
,,,1,1,1,1,1,0.5,0,0.5,1,,7,77.77777778
27,10372,13,,,"['T. 30 S., R. 27 E.', 'T. 30 S., R. 28 E.', 'T. 30 S., R. 29 E.', 'T. 30 S., R. 30 E.', 'T. 31 S., R. 24 E.', 'T. 31 S., R. 25 E.', 'T. 31 S., R. 26 E.', 'T. 31 S., R. 27 E.', 'T. 31 S., R. 28 E.', 'T. 31 S., R. 29 E.', '30 E.', 'T. 32 S., R. 23 E.', 'T. 31 S., R. 24 E.', 'T. 31 S., R. 25 E.', 'T. 31 S., R. 26 E.', 'T. 31 S., R. 27 E.', 'T. 31 S., R. 28 E.', 'T. 31 S., R. 29 E.', 'T. 31 S., R. 30 E.']",Mount Diablo Baseline and Meridian,"San Joaquin Valley, California","['1975', '1976', '1977']",Annual,Acre-feet,Groundwater,,,
AH,,,1,1,1,1,1,1,1,1,1,,9,100
28,10372,13,,,"['Tps. 11 & 12 N., 18 W.', '19 W.', '20 W.', '21 W.', '22 W.', '23 W.']",San Bernardino Baseline and Meridian,"San Joaquin Valley, California","['1975', '1976', '1977']",Annual,Acre-feet,Groundwater,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
29,48176,27,,,,Groundwater,Pajaro Valley,"['1963-04-30', '1964-04-30', '1965-04-30', '1966-04-30', '1967-04-30', '1968-04-30', '1969-04-30']",Annual (May 1 - April 30),Acre-feet,Groundwater,,,
,,,1,1,1,0,0.5,1,1,1,1,,7.5,83.33333333
30,3067,266,36.2152778,-120.4694444,"SW1 and SE1 of sec. 5, T. 20 S., R. 14 E.",Los Gatos Creek above Nunez Canyon near Coalinga,Tulare,October 1949 to September 1956,Daily,"{'Gage_Height': 'feet', 'Discharge': 'cubic feet per second'}",Stream Discharge,,,
,,,1,1,1,1,1,0.5,0,1,1,,7.5,83.33333333
32,25076,28,,,,South Fork of Kern River near Onyx,,"['1911-12', '1912-13', '1913-14', '1918-19', '1919-20', '1920-21', '1921-22', '1922-23', '1923-24', '1924-25', '1925-26', '1926-27']",Monthly,Second-feet,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
33,25076,28,,,,Erskine Creek near Isabella,,"['1910-11', '1911-12']",Monthly,Second-feet,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
34,25076,28,,,,Basin Creek near Havilah,,"['1910-11', '1911-12']",Monthly,Second-feet,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
35,25076,28,,,,Tejon House Creek at Tejon ranch house,,"['1894-95', '1895-96', '1896-97']",Monthly,Second-feet,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
36,25076,32,36.4167,-119.5,,Kaweah River near Three Rivers,Tulare,"[{'Year': 1902, 'Month': 'October'}, {'Year': 1903, 'Month': 'November'}, {'Year': 1904, 'Month': 'December'}, {'Year': 1935, 'Month': 'January'}, {'Year': 1906, 'Month': 'February'}, {'Year': 1907, 'Month': 'March'}, {'Year': 1908, 'Month': 'April'}, {'Year': 1909, 'Month': 'May'}, {'Year': 1910, 'Month': 'June'}, {'Year': 1911, 'Month': 'July'}, {'Year': 1912, 'Month': 'August'}, {'Year': 1913, 'Month': 'September'}, {'Year': 1914, 'Month': 'October'}, {'Year': 1915, 'Month': 'November'}, {'Year': 1916, 'Month': 'December'}, {'Year': 1917, 'Month': 'January'}, {'Year': 1918, 'Month': 'February'}, {'Year': 1919, 'Month': 'March'}, {'Year': 1920, 'Month': 'April'}, {'Year': 1921, 'Month': 'May'}, {'Year': 1922, 'Month': 'June'}, {'Year': 1923, 'Month': 'July'}, {'Year': 1924, 'Month': 'August'}, {'Year': 1925, 'Month': 'September'}]",Monthly,second-feet,Stream Discharge,,,
,,,0,0,,1,0,0.5,1,1,1,,4.5,50
37,25076,32,36.35,-119.1,,"Kaweah River at McKay Point, near Lemon Cove",Tulare,"[{'Year': 1918, 'Month': 'October'}, {'Year': 1919, 'Month': 'November'}, {'Year': 1920, 'Month': 'December'}]",Monthly,second-feet,Stream Discharge,,,
,,,0,0,,1,0,0.5,1,1,1,,4.5,50
38,2846,46,33.9806,-116.5598,,Desert Hot Springs,Riverside,1953-1967,Annual,Acre-feet,Groundwater,,,
,,,0,0,,1,1,0.5,1,1,1,,5.5,61.11111111
39,2846,46,33.6867,-116.1706,,Mission Creek,Riverside,1953-1967,Annual,Acre-feet,Groundwater,,,
,,,0,0,,1,1,0.5,1,1,1,,5.5,61.11111111
40,2846,46,33.7408,-116.2162,,Garnet Hill,Riverside,1953-1967,Annual,Acre-feet,Groundwater,,,
,,,0,0,,1,1,0.5,1,1,1,,5.5,61.11111111
41,2846,46,33.6947,-116.3081,,Whitewater River,Riverside,1953-1967,Annual,Acre-feet,Groundwater,,,
,,,0,0,,1,1,0.5,1,1,1,,5.5,61.11111111
42,56394,254,37.4541667,-120.6077778,"[""NW&SW's sec. 36"", 'T. 5 S.', 'R.12 E.']",MERCED RIVER AT SHAFFER BRIDGE,Merced County,"{'Start_Date': 'October 1965', 'End_Date': 'September 1976'}",daily,cubic feet per second (ft³/s),Stream Discharge,,,
,,,1,1,1,1,1,1,0,1,1,,8,88.88888889
,,,,,,,,,,,,,,
total points (out of 42) ,,,36,36,36,38,39.5,33,38,41.5,35,,,
Percentage,,,85.71428571,85.71428571,85.71428571,90.47619048,94.04761905,78.57142857,90.47619048,98.80952381,83.33333333,,,
